# open,high,low,close
5.243172454833984375e+01,5.298926162719726562e+01,5.177789688110351562e+01,5.213045120239257812e+01
7.337328491210937500e+02,7.367698974609375000e+02,7.348386840820312500e+02,7.339355468750000000e+02
1.265836425781250000e+03,1.270486572265625000e+03,1.268626464843750000e+03,1.266587646484375000e+03
1.400571166992187500e+03,1.405413085937500000e+03,1.403638671875000000e+03,1.401268432617187500e+03
1.496277465820312500e+03,1.501322509765625000e+03,1.499472778320312500e+03,1.496923461914062500e+03
1.520619018554687500e+03,1.525655151367187500e+03,1.523845458984375000e+03,1.521235961914062500e+03
1.543579589843750000e+03,1.548638916015625000e+03,1.546866210937500000e+03,1.544200561523437500e+03
1.549069580078125000e+03,1.554104248046875000e+03,1.552407592773437500e+03,1.549705322265625000e+03
1.559866699218750000e+03,1.564902709960937500e+03,1.563284423828125000e+03,1.560528564453125000e+03
1.569976806640625000e+03,1.575013793945312500e+03,1.573450317382812500e+03,1.570644531250000000e+03
1.573257690429687500e+03,1.578268188476562500e+03,1.576777587890625000e+03,1.573927124023437500e+03
1.582795043945312500e+03,1.587801147460937500e+03,1.586348388671875000e+03,1.583448608398437500e+03
1.583320434570312500e+03,1.588291870117187500e+03,1.586875000000000000e+03,1.583945678710937500e+03
1.601592651367187500e+03,1.606603881835937500e+03,1.605141235351562500e+03,1.602175659179687500e+03
1.604314819335937500e+03,1.609320312500000000e+03,1.607817993164062500e+03,1.604852783203125000e+03
1.620546630859375000e+03,1.625604858398437500e+03,1.624029907226562500e+03,1.621054565429687500e+03
