# open,high,low,close
5.139481735229492188e+01,5.134561538696289062e+01,5.122798156738281250e+01,5.124346923828125000e+01
2.298219909667968750e+02,2.310884094238281250e+02,2.308289489746093750e+02,2.306894073486328125e+02
3.583691711425781250e+02,3.607593994140625000e+02,3.601243286132812500e+02,3.600133972167968750e+02
3.766429748535156250e+02,3.793547973632812500e+02,3.784539794921875000e+02,3.784803161621093750e+02
4.028158874511718750e+02,4.057774658203125000e+02,4.048325805664062500e+02,4.048570251464843750e+02
4.053933410644531250e+02,4.083979492187500000e+02,4.074667968750000000e+02,4.074937744140625000e+02
4.123735046386718750e+02,4.154313354492187500e+02,4.145407714843750000e+02,4.145415344238281250e+02
4.119043884277343750e+02,4.149510192871093750e+02,4.141112976074218750e+02,4.140877075195312500e+02
4.125128479003906250e+02,4.155484619140625000e+02,4.147695617675781250e+02,4.147083129882812500e+02
4.089797973632812500e+02,4.119691162109375000e+02,4.112569885253906250e+02,4.111575317382812500e+02
4.042010498046875000e+02,4.071321105957031250e+02,4.064879150390625000e+02,4.063486938476562500e+02
3.976138305664062500e+02,4.004722900390625000e+02,3.998924255371093750e+02,3.997170410156250000e+02
3.919995422363281250e+02,3.947939453125000000e+02,3.942658691406250000e+02,3.940618896484375000e+02
3.871877441406250000e+02,3.899275512695312500e+02,3.894382629394531250e+02,3.892122192382812500e+02
3.845641784667968750e+02,3.872703857421875000e+02,3.868037109375000000e+02,3.865646057128906250e+02
3.825100708007812500e+02,3.851915893554687500e+02,3.847371215820312500e+02,3.844901428222656250e+02
