# open,high,low,close
6.185895156860351562e+01,6.194238662719726562e+01,6.170904922485351562e+01,6.173955535888671875e+01
5.535630416870117188e+01,5.546454620361328125e+01,5.524992370605468750e+01,5.525557708740234375e+01
4.753516387939453125e+01,4.766149520874023438e+01,4.749360275268554688e+01,4.746006011962890625e+01
4.223750686645507812e+01,4.237255096435546875e+01,4.223398971557617188e+01,4.217474365234375000e+01
4.114914321899414062e+01,4.128148651123046875e+01,4.113719940185546875e+01,4.107736968994140625e+01
4.158417129516601562e+01,4.169600677490234375e+01,4.156715774536132812e+01,4.150306320190429688e+01
4.061672973632812500e+01,4.069440078735351562e+01,4.063379669189453125e+01,4.054121780395507812e+01
3.888792419433593750e+01,3.893107604980468750e+01,3.895308303833007812e+01,3.882418823242187500e+01
3.691259002685546875e+01,3.692667007446289062e+01,3.702571105957031250e+01,3.686180877685546875e+01
3.521191406250000000e+01,3.520437622070312500e+01,3.536322021484375000e+01,3.517167663574218750e+01
3.392833709716796875e+01,3.390574264526367188e+01,3.410678863525390625e+01,3.389561080932617188e+01
3.284726715087890625e+01,3.281415557861328125e+01,3.304662322998046875e+01,3.282064437866210938e+01
3.227797317504882812e+01,3.223821640014648438e+01,3.248827743530273438e+01,3.225429534912109375e+01
3.164700889587402344e+01,3.160179328918457031e+01,3.186879348754882812e+01,3.162697219848632812e+01
3.084250450134277344e+01,3.079286766052246094e+01,3.107764053344726562e+01,3.082720565795898438e+01
3.002725982666015625e+01,2.997455978393554688e+01,3.027472305297851562e+01,3.001653861999511719e+01
