# open,high,low,close
3.701225042343139648e+00,3.614724159240722656e+00,3.857403993606567383e+00,3.653210163116455078e+00
1.580952358245849609e+01,1.661306571960449219e+01,1.712840652465820312e+01,1.669054031372070312e+01
3.661902618408203125e+01,3.873023986816406250e+01,3.971917724609375000e+01,3.893400955200195312e+01
4.430401229858398438e+01,4.672180557250976562e+01,4.768710327148437500e+01,4.686491775512695312e+01
4.288390350341796875e+01,4.505270767211914062e+01,4.578828048706054688e+01,4.504094314575195312e+01
4.257854843139648438e+01,4.460791397094726562e+01,4.531105422973632812e+01,4.457054901123046875e+01
4.260499191284179688e+01,4.456494522094726562e+01,4.526376724243164062e+01,4.454307174682617188e+01
4.284714508056640625e+01,4.477952194213867188e+01,4.550127029418945312e+01,4.478996658325195312e+01
4.377293014526367188e+01,4.573814773559570312e+01,4.652332687377929688e+01,4.579810714721679688e+01
4.459803771972656250e+01,4.659609985351562500e+01,4.744119262695312500e+01,4.669635772705078125e+01
4.611313629150390625e+01,4.819201278686523438e+01,4.911880493164062500e+01,4.833891677856445312e+01
4.583424377441406250e+01,4.787668991088867188e+01,4.880371856689453125e+01,4.801867294311523438e+01
4.464265823364257812e+01,4.658632659912109375e+01,4.749671936035156250e+01,4.670993041992187500e+01
4.270414352416992188e+01,4.450427246093750000e+01,4.538437652587890625e+01,4.460646057128906250e+01
4.316813659667968750e+01,4.499845504760742188e+01,4.594055557250976562e+01,4.513530731201171875e+01
4.422277069091796875e+01,4.613235092163085938e+01,4.712897109985351562e+01,4.630038452148437500e+01
