# open,high,low,close
4.305150604248046875e+01,4.327935791015625000e+01,4.365013504028320312e+01,4.310045242309570312e+01
1.443734741210937500e+02,1.452059326171875000e+02,1.448317260742187500e+02,1.449794921875000000e+02
1.808145904541015625e+02,1.819153442382812500e+02,1.812168273925781250e+02,1.816206817626953125e+02
1.990005798339843750e+02,2.002149505615234375e+02,1.993660125732421875e+02,1.998768157958984375e+02
2.073419799804687500e+02,2.085978546142578125e+02,2.076918029785156250e+02,2.082338104248046875e+02
2.122855377197265625e+02,2.135692596435546875e+02,2.126314086914062500e+02,2.131898956298828125e+02
2.171161499023437500e+02,2.184258117675781250e+02,2.174563140869140625e+02,2.180339050292968750e+02
2.197734985351562500e+02,2.210964355468750000e+02,2.201104125976562500e+02,2.206955718994140625e+02
2.220494384765625000e+02,2.233826751708984375e+02,2.223833618164062500e+02,2.229750213623046875e+02
2.236728515625000000e+02,2.250106964111328125e+02,2.240037231445312500e+02,2.245978088378906250e+02
2.244867553710937500e+02,2.258241729736328125e+02,2.248159027099609375e+02,2.254079895019531250e+02
2.254217987060546875e+02,2.267570953369140625e+02,2.257481231689453125e+02,2.263381958007812500e+02
2.250511016845703125e+02,2.263787384033203125e+02,2.253775177001953125e+02,2.259593353271484375e+02
2.257329711914062500e+02,2.270560913085937500e+02,2.260565795898437500e+02,2.266353912353515625e+02
2.252356872558593750e+02,2.265471649169921875e+02,2.255580749511718750e+02,2.261266479492187500e+02
2.249816131591796875e+02,2.262823638916015625e+02,2.253026123046875000e+02,2.258623504638671875e+02
