# open,high,low,close
3.709010314941406250e+01,3.718186187744140625e+01,3.711177444458007812e+01,3.722385787963867188e+01
7.875939178466796875e+01,7.886209106445312500e+01,7.829833221435546875e+01,7.886882781982421875e+01
8.976373291015625000e+01,8.977182769775390625e+01,8.932027435302734375e+01,8.992378234863281250e+01
8.936254882812500000e+01,8.931444549560546875e+01,8.895895385742187500e+01,8.947969055175781250e+01
9.064941406250000000e+01,9.055690002441406250e+01,9.024166107177734375e+01,9.071593475341796875e+01
9.218861389160156250e+01,9.205324554443359375e+01,9.176662445068359375e+01,9.220562744140625000e+01
9.241735839843750000e+01,9.224205780029296875e+01,9.199060058593750000e+01,9.238722991943359375e+01
9.360546875000000000e+01,9.340565490722656250e+01,9.315763092041015625e+01,9.354117584228515625e+01
9.627158355712890625e+01,9.605156707763671875e+01,9.579405212402343750e+01,9.618727111816406250e+01
9.885658264160156250e+01,9.860917663574218750e+01,9.836148834228515625e+01,9.875678253173828125e+01
1.007204742431640625e+02,1.004435882568359375e+02,1.002192382812500000e+02,1.006058883666992188e+02
9.911492919921875000e+01,9.880484008789062500e+01,9.863887023925781250e+01,9.897305297851562500e+01
1.002775344848632812e+02,9.997156524658203125e+01,9.977986907958984375e+01,1.001306991577148438e+02
1.022895736694335938e+02,1.019596099853515625e+02,1.017838287353515625e+02,1.021340866088867188e+02
1.004282073974609375e+02,1.000775985717773438e+02,9.994435882568359375e+01,1.002522659301757812e+02
9.271298217773437500e+01,9.233168029785156250e+01,9.229409027099609375e+01,9.248584747314453125e+01
