# open,high,low,close
4.849818038940429688e+01,4.842951202392578125e+01,4.924346160888671875e+01,4.874037933349609375e+01
3.918361663818359375e+01,3.909659957885742188e+01,3.980013656616210938e+01,3.935770797729492188e+01
2.972900581359863281e+01,2.962444305419921875e+01,3.021980667114257812e+01,2.983852767944335938e+01
2.420131111145019531e+01,2.408317375183105469e+01,2.462644577026367188e+01,2.427741432189941406e+01
2.248342704772949219e+01,2.235426139831542969e+01,2.289481544494628906e+01,2.255132865905761719e+01
2.171406173706054688e+01,2.157420539855957031e+01,2.211935234069824219e+01,2.177820587158203125e+01
2.004752922058105469e+01,1.989664459228515625e+01,2.042974281311035156e+01,2.010139274597167969e+01
1.723929405212402344e+01,1.707712936401367188e+01,1.758080863952636719e+01,1.727601432800292969e+01
1.385574626922607422e+01,1.368258762359619141e+01,1.414867973327636719e+01,1.387259769439697266e+01
1.081643009185791016e+01,1.063361740112304688e+01,1.106652927398681641e+01,1.081646156311035156e+01
8.891357421875000000e+00,8.701300621032714844e+00,9.115250587463378906e+00,8.882138252258300781e+00
8.080798149108886719e+00,7.886038780212402344e+00,8.294775962829589844e+00,8.069471359252929688e+00
8.052800178527832031e+00,7.855453968048095703e+00,8.268063545227050781e+00,8.044070243835449219e+00
8.227625846862792969e+00,8.028865814208984375e+00,8.446895599365234375e+00,8.222339630126953125e+00
8.351374626159667969e+00,8.151750564575195312e+00,8.573719024658203125e+00,8.348735809326171875e+00
8.289149284362792969e+00,8.088752746582031250e+00,8.511725425720214844e+00,8.287535667419433594e+00
