# open,high,low,close
7.381223297119140625e+01,7.406707763671875000e+01,7.487598419189453125e+01,7.403536224365234375e+01
6.620678710937500000e+01,6.640639495849609375e+01,6.724047851562500000e+01,6.641970062255859375e+01
5.323176574707031250e+01,5.332747650146484375e+01,5.417621994018554688e+01,5.339908218383789062e+01
3.980200576782226562e+01,3.978345108032226562e+01,4.064054870605468750e+01,3.990856933593750000e+01
3.265519714355468750e+01,3.256110382080078125e+01,3.342826080322265625e+01,3.270769119262695312e+01
3.324892807006835938e+01,3.314117431640625000e+01,3.401058959960937500e+01,3.327164077758789062e+01
3.163237380981445312e+01,3.152031135559082031e+01,3.236420822143554688e+01,3.164347267150878906e+01
2.697040748596191406e+01,2.684168434143066406e+01,2.764952468872070312e+01,2.697136306762695312e+01
2.110456848144531250e+01,2.095114326477050781e+01,2.172079467773437500e+01,2.109191513061523438e+01
1.581073188781738281e+01,1.563480567932128906e+01,1.636787033081054688e+01,1.578364944458007812e+01
1.242587757110595703e+01,1.223867797851562500e+01,1.293976402282714844e+01,1.238815307617187500e+01
1.113910102844238281e+01,1.095414352416992188e+01,1.162864208221435547e+01,1.109756278991699219e+01
1.070310401916503906e+01,1.052696895599365234e+01,1.117795372009277344e+01,1.066363048553466797e+01
1.032689857482910156e+01,1.015997600555419922e+01,1.079042530059814453e+01,1.029236221313476562e+01
9.646280288696289062e+00,9.485487937927246094e+00,1.009829330444335938e+01,9.616796493530273438e+00
9.014425277709960938e+00,8.857921600341796875e+00,9.457034111022949219e+00,8.989261627197265625e+00
