# open,high,low,close
5.640222778320312500e+02,5.656224365234375000e+02,5.662050781250000000e+02,5.644796752929687500e+02
6.973370361328125000e+02,6.999552001953125000e+02,7.013477783203125000e+02,7.029658203125000000e+02
9.363395996093750000e+02,9.431406250000000000e+02,9.445546875000000000e+02,9.507407226562500000e+02
1.080834106445312500e+03,1.090432617187500000e+03,1.092107666015625000e+03,1.098174926757812500e+03
1.071549682617187500e+03,1.079577514648437500e+03,1.082595581054687500e+03,1.084371215820312500e+03
1.018845214843750000e+03,1.025239013671875000e+03,1.028865234375000000e+03,1.026875122070312500e+03
9.782780151367187500e+02,9.842044677734375000e+02,9.876273803710937500e+02,9.835573730468750000e+02
9.734503173828125000e+02,9.798320312500000000e+02,9.827814331054687500e+02,9.783006591796875000e+02
9.990974731445312500e+02,1.006327453613281250e+03,1.008866394042968750e+03,1.004925659179687500e+03
1.027605834960937500e+03,1.035408203125000000e+03,1.037737182617187500e+03,1.034225830078125000e+03
1.054195068359375000e+03,1.062380371093750000e+03,1.064642333984375000e+03,1.061358886718750000e+03
1.066424682617187500e+03,1.074566406250000000e+03,1.076897827148437500e+03,1.073370971679687500e+03
1.071389526367187500e+03,1.079388427734375000e+03,1.081795654296875000e+03,1.077906005859375000e+03
1.066968261718750000e+03,1.074666748046875000e+03,1.077137695312500000e+03,1.072746826171875000e+03
1.058838623046875000e+03,1.066254760742187500e+03,1.068729003906250000e+03,1.063899536132812500e+03
1.051927368164062500e+03,1.059165405273437500e+03,1.061590332031250000e+03,1.056500000000000000e+03
