# open,high,low,close
7.261456298828125000e+01,7.291841125488281250e+01,7.244605255126953125e+01,7.248703765869140625e+01
6.509211730957031250e+01,6.520940399169921875e+01,6.496854400634765625e+01,6.496254730224609375e+01
5.787377548217773438e+01,5.781953811645507812e+01,5.780013656616210938e+01,5.775774002075195312e+01
5.371857070922851562e+01,5.357445907592773438e+01,5.368348312377929688e+01,5.363079833984375000e+01
5.358897018432617188e+01,5.345555114746093750e+01,5.357035827636718750e+01,5.353432464599609375e+01
5.541634750366210938e+01,5.534090042114257812e+01,5.539614486694335938e+01,5.538655853271484375e+01
5.642253494262695312e+01,5.638292312622070312e+01,5.639665985107421875e+01,5.640424728393554688e+01
5.539284896850585938e+01,5.533758544921875000e+01,5.536833953857421875e+01,5.537791824340820312e+01
5.408366012573242188e+01,5.400402832031250000e+01,5.406303405761718750e+01,5.407147979736328125e+01
5.275231552124023438e+01,5.264714813232421875e+01,5.273720169067382812e+01,5.274406433105468750e+01
5.166088485717773438e+01,5.153578948974609375e+01,5.165139007568359375e+01,5.165807723999023438e+01
5.048370361328125000e+01,5.033710479736328125e+01,5.048084259033203125e+01,5.048726654052734375e+01
4.957474517822265625e+01,4.941323852539062500e+01,4.957766723632812500e+01,4.958556747436523438e+01
4.875325393676757812e+01,4.857908248901367188e+01,4.876139831542968750e+01,4.877134704589843750e+01
4.819253921508789062e+01,4.801161575317382812e+01,4.820440292358398438e+01,4.821755218505859375e+01
4.792103576660156250e+01,4.773946380615234375e+01,4.793476104736328125e+01,4.795193862915039062e+01
