# open,high,low,close
7.496788787841796875e+01,7.310651397705078125e+01,7.603045654296875000e+01,7.364432525634765625e+01
7.046930694580078125e+01,6.886590576171875000e+01,7.159938812255859375e+01,6.924128723144531250e+01
6.326018142700195312e+01,6.205142974853515625e+01,6.448863983154296875e+01,6.222040557861328125e+01
5.524844741821289062e+01,5.443608093261718750e+01,5.653983306884765625e+01,5.443072891235351562e+01
4.798076629638671875e+01,4.747785568237304688e+01,4.925819778442382812e+01,4.734650802612304688e+01
4.241603088378906250e+01,4.210171127319335938e+01,4.359682846069335938e+01,4.188676071166992188e+01
3.900114440917968750e+01,3.875598907470703125e+01,4.002184677124023438e+01,3.849523162841796875e+01
3.832273483276367188e+01,3.801700210571289062e+01,3.913578033447265625e+01,3.776454544067382812e+01
4.039894104003906250e+01,3.991874313354492188e+01,4.098994827270507812e+01,3.973974609375000000e+01
4.437930297851562500e+01,4.366585922241210938e+01,4.478255462646484375e+01,4.360782241821289062e+01
4.879785537719726562e+01,4.786966323852539062e+01,4.908913421630859375e+01,4.793407058715820312e+01
5.222820663452148438e+01,5.116832733154296875e+01,5.249590301513671875e+01,5.131182479858398438e+01
5.399473190307617188e+01,5.290349960327148438e+01,5.430582427978515625e+01,5.307247543334960938e+01
5.411609649658203125e+01,5.307564544677734375e+01,5.450366973876953125e+01,5.323124694824218750e+01
5.308113861083984375e+01,5.213574218750000000e+01,5.354617691040039062e+01,5.226263046264648438e+01
5.150022125244140625e+01,5.065745544433593750e+01,5.202258300781250000e+01,5.075740814208984375e+01
