# open,high,low,close
6.721324920654296875e+01,6.729719543457031250e+01,6.708897399902343750e+01,6.736323547363281250e+01
6.148804473876953125e+01,6.153772735595703125e+01,6.136544799804687500e+01,6.154998397827148438e+01
5.546265792846679688e+01,5.547334289550781250e+01,5.534918212890625000e+01,5.544212341308593750e+01
5.327998733520507812e+01,5.327694702148437500e+01,5.317130279541015625e+01,5.324215698242187500e+01
5.213175582885742188e+01,5.212054443359375000e+01,5.202874755859375000e+01,5.209120941162109375e+01
5.127418518066406250e+01,5.125397491455078125e+01,5.117960739135742188e+01,5.123281860351562500e+01
5.030993652343750000e+01,5.027742004394531250e+01,5.022629165649414062e+01,5.026372909545898438e+01
4.866409683227539062e+01,4.861185836791992188e+01,4.859473037719726562e+01,4.860141372680664062e+01
4.741777801513671875e+01,4.734876632690429688e+01,4.736138153076171875e+01,4.734401702880859375e+01
4.688821792602539062e+01,4.680839157104492188e+01,4.684218597412109375e+01,4.681320953369140625e+01
4.677575683593750000e+01,4.668849563598632812e+01,4.673839569091796875e+01,4.670409011840820312e+01
4.698233795166015625e+01,4.689066696166992188e+01,4.695169448852539062e+01,4.691675567626953125e+01
4.937631988525390625e+01,4.930204391479492188e+01,4.934214401245117188e+01,4.934664916992187500e+01
4.963359069824218750e+01,4.955566406250000000e+01,4.960345458984375000e+01,4.960438919067382812e+01
4.922129821777343750e+01,4.913609313964843750e+01,4.919471359252929688e+01,4.918243026733398438e+01
4.885909652709960938e+01,4.876921463012695312e+01,4.883387374877929688e+01,4.881244659423828125e+01
