# open,high,low,close
1.286656646728515625e+02,1.289631958007812500e+02,1.288718414306640625e+02,1.284685821533203125e+02
1.217692031860351562e+02,1.219988708496093750e+02,1.219433441162109375e+02,1.215534744262695312e+02
1.172432556152343750e+02,1.174277572631835938e+02,1.174054489135742188e+02,1.170291900634765625e+02
1.145867614746093750e+02,1.147427749633789062e+02,1.147481002807617188e+02,1.143811340332031250e+02
1.132589187622070312e+02,1.133994140625000000e+02,1.134246597290039062e+02,1.130649948120117188e+02
1.129706802368164062e+02,1.131065368652343750e+02,1.131430206298828125e+02,1.127891082763671875e+02
1.117750549316406250e+02,1.118990783691406250e+02,1.119464721679687500e+02,1.116017303466796875e+02
1.093557968139648438e+02,1.094572372436523438e+02,1.095194702148437500e+02,1.091878738403320312e+02
1.084536056518554688e+02,1.085461196899414062e+02,1.086174545288085938e+02,1.082933731079101562e+02
1.079676437377929688e+02,1.080554122924804688e+02,1.081325073242187500e+02,1.078143157958984375e+02
1.077706909179687500e+02,1.078566970825195312e+02,1.079367523193359375e+02,1.076231460571289062e+02
1.067263412475585938e+02,1.068031692504882812e+02,1.068885955810546875e+02,1.065821990966796875e+02
1.068086395263671875e+02,1.068863296508789062e+02,1.069727020263671875e+02,1.066687240600585938e+02
1.061050262451171875e+02,1.061766510009765625e+02,1.062662963867187500e+02,1.059672851562500000e+02
1.057674407958984375e+02,1.058361511230468750e+02,1.059279174804687500e+02,1.056319885253906250e+02
1.046459655761718750e+02,1.047046890258789062e+02,1.048018112182617188e+02,1.045116577148437500e+02
