# open,high,low,close
2.697195816040039062e+01,2.693954658508300781e+01,2.698111152648925781e+01,2.696398162841796875e+01
4.220584106445312500e+01,4.229606246948242188e+01,4.226934051513671875e+01,4.246631240844726562e+01
4.116130447387695312e+01,4.129513168334960938e+01,4.110489654541015625e+01,4.137604904174804688e+01
4.321426773071289062e+01,4.340539550781250000e+01,4.311776733398437500e+01,4.347024536132812500e+01
4.285005950927734375e+01,4.302254104614257812e+01,4.269116973876953125e+01,4.305588912963867188e+01
4.374738311767578125e+01,4.397116851806640625e+01,4.357834625244140625e+01,4.399436569213867188e+01
4.272845840454101562e+01,4.288579940795898438e+01,4.250030136108398438e+01,4.288455581665039062e+01
4.299568557739257812e+01,4.317498397827148438e+01,4.278943634033203125e+01,4.318221664428710938e+01
4.253869247436523438e+01,4.268519973754882812e+01,4.230516815185546875e+01,4.268167495727539062e+01
4.197747421264648438e+01,4.210565567016601562e+01,4.174588012695312500e+01,4.210231781005859375e+01
4.233422851562500000e+01,4.247013473510742188e+01,4.211548995971679688e+01,4.247514724731445312e+01
4.156767654418945312e+01,4.167443847656250000e+01,4.133322525024414062e+01,4.167110061645507812e+01
4.129616928100585938e+01,4.139336395263671875e+01,4.107401657104492188e+01,4.139629364013671875e+01
4.015569305419921875e+01,4.022064590454101562e+01,3.993107986450195312e+01,4.021927642822265625e+01
3.946533966064453125e+01,3.950928497314453125e+01,3.925869369506835938e+01,3.951589202880859375e+01
3.858710861206054688e+01,3.860857009887695312e+01,3.839469528198242188e+01,3.861988067626953125e+01
