# open,high,low,close
7.558919525146484375e+01,7.586170196533203125e+01,7.570385742187500000e+01,7.537004089355468750e+01
6.513825225830078125e+01,6.526119995117187500e+01,6.520703887939453125e+01,6.492643737792968750e+01
5.453747558593750000e+01,5.451234054565429688e+01,5.457650756835937500e+01,5.436242675781250000e+01
4.771361923217773438e+01,4.760363769531250000e+01,4.775414657592773438e+01,4.759941864013671875e+01
4.750214385986328125e+01,4.740744781494140625e+01,4.757592773437500000e+01,4.745022583007812500e+01
5.030347442626953125e+01,5.026278305053710938e+01,5.040956115722656250e+01,5.028877258300781250e+01
5.013006973266601562e+01,5.009319305419921875e+01,5.024025726318359375e+01,5.012859344482421875e+01
4.741463851928710938e+01,4.734248733520507812e+01,4.751468276977539062e+01,4.742209625244140625e+01
4.445194244384765625e+01,4.434207153320312500e+01,4.454383468627929688e+01,4.447337341308593750e+01
4.222034072875976562e+01,4.208485794067382812e+01,4.231005859375000000e+01,4.225982284545898438e+01
4.138014602661132812e+01,4.123960113525390625e+01,4.147424316406250000e+01,4.143719482421875000e+01
4.116796112060546875e+01,4.103007125854492188e+01,4.126669311523437500e+01,4.123748016357421875e+01
4.139610671997070312e+01,4.126543426513671875e+01,4.149864578247070312e+01,4.147249221801757812e+01
4.148046493530273438e+01,4.135316848754882812e+01,4.158380508422851562e+01,4.155919647216796875e+01
4.172992706298828125e+01,4.160737609863281250e+01,4.183383941650390625e+01,4.180868148803710938e+01
4.146371841430664062e+01,4.133765792846679688e+01,4.156525802612304688e+01,4.154140090942382812e+01
