# open,high,low,close
5.556104278564453125e+01,5.463259124755859375e+01,5.580880355834960938e+01,5.518139648437500000e+01
8.011406707763671875e+01,7.930265808105468750e+01,8.033881378173828125e+01,8.030991363525390625e+01
1.192316741943359375e+02,1.185746002197265625e+02,1.194335098266601562e+02,1.202065505981445312e+02
1.598605194091796875e+02,1.593879241943359375e+02,1.600332031250000000e+02,1.614866638183593750e+02
1.927189788818359375e+02,1.924515075683593750e+02,1.928482208251953125e+02,1.946929931640625000e+02
2.128357849121093750e+02,2.127628326416015625e+02,2.129041900634765625e+02,2.148090362548828125e+02
2.198740844726562500e+02,2.199518127441406250e+02,2.198720092773437500e+02,2.215620880126953125e+02
2.187539672851562500e+02,2.189335937500000000e+02,2.186853027343750000e+02,2.200352020263671875e+02
2.163925476074218750e+02,2.166499328613281250e+02,2.162680816650390625e+02,2.173197784423828125e+02
2.167733764648437500e+02,2.171057739257812500e+02,2.166047973632812500e+02,2.174821472167968750e+02
2.203510437011718750e+02,2.207595062255859375e+02,2.201496124267578125e+02,2.209696350097656250e+02
2.253204345703125000e+02,2.257988586425781250e+02,2.250957489013671875e+02,2.259189300537109375e+02
2.303826446533203125e+02,2.309211883544921875e+02,2.301411590576171875e+02,2.309884338378906250e+02
2.342429046630859375e+02,2.348285064697265625e+02,2.339880828857421875e+02,2.348462219238281250e+02
2.364886169433593750e+02,2.371082916259765625e+02,2.362218322753906250e+02,2.370670623779296875e+02
2.371706237792968750e+02,2.378128051757812500e+02,2.368925018310546875e+02,2.377023010253906250e+02
