# open,high,low,close
3.994990921020507812e+01,3.873316574096679688e+01,3.937318038940429688e+01,3.931100082397460938e+01
9.152553558349609375e+01,9.129332733154296875e+01,9.163990020751953125e+01,9.144308471679687500e+01
9.354294586181640625e+01,9.346659088134765625e+01,9.369934844970703125e+01,9.340375518798828125e+01
9.936986541748046875e+01,9.934506988525390625e+01,9.972769165039062500e+01,9.926000976562500000e+01
9.817845153808593750e+01,9.810040283203125000e+01,9.856632232666015625e+01,9.801283264160156250e+01
9.741141510009765625e+01,9.727543640136718750e+01,9.784465026855468750e+01,9.720188903808593750e+01
9.631826782226562500e+01,9.613246917724609375e+01,9.676744079589843750e+01,9.607350921630859375e+01
9.593836212158203125e+01,9.572591400146484375e+01,9.640344238281250000e+01,9.567591857910156250e+01
9.720767974853515625e+01,9.702697753906250000e+01,9.768003082275390625e+01,9.695848083496093750e+01
9.788602447509765625e+01,9.771443939208984375e+01,9.838308715820312500e+01,9.763793945312500000e+01
9.674451446533203125e+01,9.652778625488281250e+01,9.725857543945312500e+01,9.647120666503906250e+01
9.609501647949218750e+01,9.585894775390625000e+01,9.660192108154296875e+01,9.581101226806640625e+01
9.558738708496093750e+01,9.533232879638671875e+01,9.609623718261718750e+01,9.529380798339843750e+01
9.522332000732421875e+01,9.495695495605468750e+01,9.572904968261718750e+01,9.492492675781250000e+01
9.448171234130859375e+01,9.419249725341796875e+01,9.498530578613281250e+01,9.417250061035156250e+01
9.479708862304687500e+01,9.451959991455078125e+01,9.529408264160156250e+01,9.449647521972656250e+01
