# open,high,low,close
1.852641677856445312e+01,1.851635742187500000e+01,1.853272247314453125e+01,1.850349426269531250e+01
2.269246482849121094e+01,2.272144508361816406e+01,2.282960319519042969e+01,2.278038787841796875e+01
2.232837867736816406e+01,2.230866622924804688e+01,2.240010833740234375e+01,2.234853172302246094e+01
2.339814567565917969e+01,2.341286659240722656e+01,2.352955627441406250e+01,2.345644187927246094e+01
2.415790367126464844e+01,2.417182159423828125e+01,2.430001258850097656e+01,2.421191787719726562e+01
2.462194061279296875e+01,2.463946723937988281e+01,2.477079582214355469e+01,2.467084312438964844e+01
2.412857055664062500e+01,2.411587715148925781e+01,2.419035720825195312e+01,2.411258316040039062e+01
2.398823165893554688e+01,2.399085235595703125e+01,2.406346321105957031e+01,2.398240852355957031e+01
2.416499519348144531e+01,2.416636276245117188e+01,2.423450088500976562e+01,2.415550804138183594e+01
2.383909225463867188e+01,2.382954978942871094e+01,2.386580085754394531e+01,2.380205917358398438e+01
2.373776054382324219e+01,2.373314857482910156e+01,2.376850509643554688e+01,2.370573234558105469e+01
2.316044425964355469e+01,2.314348602294921875e+01,2.313497734069824219e+01,2.309551429748535156e+01
2.315857887268066406e+01,2.314953231811523438e+01,2.315624618530273438e+01,2.311215972900390625e+01
2.354122924804687500e+01,2.353605842590332031e+01,2.356316375732421875e+01,2.351154327392578125e+01
2.331044006347656250e+01,2.329434967041015625e+01,2.329681205749511719e+01,2.325864982604980469e+01
2.267462539672851562e+01,2.265383338928222656e+01,2.262793540954589844e+01,2.260400009155273438e+01
