# open,high,low,close
6.209292602539062500e+01,6.308350372314453125e+01,6.190844345092773438e+01,6.293987274169921875e+01
8.740401611328125000e+02,8.747128295898437500e+02,8.729102783203125000e+02,8.734745483398437500e+02
1.302437744140625000e+03,1.303954956054687500e+03,1.301999755859375000e+03,1.300580688476562500e+03
1.415493408203125000e+03,1.417569702148437500e+03,1.416062133789062500e+03,1.412707519531250000e+03
1.448531860351562500e+03,1.450935913085937500e+03,1.450083007812500000e+03,1.445335815429687500e+03
1.458388305664062500e+03,1.460993041992187500e+03,1.460563232421875000e+03,1.454958007812500000e+03
1.470208129882812500e+03,1.472921142578125000e+03,1.472712524414062500e+03,1.466584838867187500e+03
1.485696777343750000e+03,1.488472656250000000e+03,1.488325073242187500e+03,1.481885009765625000e+03
1.504724487304687500e+03,1.507543579101562500e+03,1.507364257812500000e+03,1.500719848632812500e+03
1.515692871093750000e+03,1.518538452148437500e+03,1.518400756835937500e+03,1.511548828125000000e+03
1.529647583007812500e+03,1.532530151367187500e+03,1.532289916992187500e+03,1.525363769531250000e+03
1.545309326171875000e+03,1.548218750000000000e+03,1.547913330078125000e+03,1.540883666992187500e+03
1.561570800781250000e+03,1.564520019531250000e+03,1.564068359375000000e+03,1.556994506835937500e+03
1.571494750976562500e+03,1.574460205078125000e+03,1.574046142578125000e+03,1.566817138671875000e+03
1.574062133789062500e+03,1.577055541992187500e+03,1.576610351562500000e+03,1.569327636718750000e+03
1.578405273437500000e+03,1.581408447265625000e+03,1.580972412109375000e+03,1.573624877929687500e+03
