# open,high,low,close
5.005947113037109375e+01,5.004560470581054688e+01,4.978239822387695312e+01,4.988273239135742188e+01
3.166138305664062500e+02,3.181257019042968750e+02,3.174958496093750000e+02,3.175015869140625000e+02
3.625521850585937500e+02,3.648161010742187500e+02,3.618871154785156250e+02,3.626984863281250000e+02
4.183576660156250000e+02,4.206377258300781250e+02,4.180685424804687500e+02,4.188757629394531250e+02
4.034218139648437500e+02,4.057256164550781250e+02,4.028677062988281250e+02,4.037670593261718750e+02
4.214920043945312500e+02,4.238246154785156250e+02,4.210301818847656250e+02,4.218832702636718750e+02
4.204447021484375000e+02,4.226832580566406250e+02,4.201688842773437500e+02,4.208257141113281250e+02
4.180214233398437500e+02,4.201515197753906250e+02,4.179267883300781250e+02,4.183574218750000000e+02
4.135980224609375000e+02,4.155822448730468750e+02,4.137144165039062500e+02,4.138764953613281250e+02
4.072649230957031250e+02,4.091147155761718750e+02,4.075348815917968750e+02,4.074833374023437500e+02
4.025861816406250000e+02,4.043270263671875000e+02,4.029759216308593750e+02,4.027639770507812500e+02
3.987182922363281250e+02,4.003858337402343750e+02,3.991813659667968750e+02,3.988741149902343750e+02
3.981929321289062500e+02,3.998614196777343750e+02,3.986557922363281250e+02,3.983534851074218750e+02
3.981029663085937500e+02,3.997737731933593750e+02,3.985676879882812500e+02,3.982718505859375000e+02
3.988279113769531250e+02,4.005365905761718750e+02,3.992476806640625000e+02,3.990097045898437500e+02
3.988488464355468750e+02,4.005581054687500000e+02,3.992684326171875000e+02,3.990375976562500000e+02
