# open,high,low,close
6.118191909790039062e+01,6.129842376708984375e+01,6.103969192504882812e+01,6.110724258422851562e+01
5.057311248779296875e+01,5.066684341430664062e+01,5.055740356445312500e+01,5.047100448608398438e+01
4.102589416503906250e+01,4.109158706665039062e+01,4.115785980224609375e+01,4.090578842163085938e+01
3.828217697143554688e+01,3.838299560546875000e+01,3.839081573486328125e+01,3.815940475463867188e+01
3.731787109375000000e+01,3.744393539428710938e+01,3.739077377319335938e+01,3.720125579833984375e+01
3.670852661132812500e+01,3.683629608154296875e+01,3.676905822753906250e+01,3.660337066650390625e+01
3.577078628540039062e+01,3.588007354736328125e+01,3.584582901000976562e+01,3.567836761474609375e+01
3.499017333984375000e+01,3.507428741455078125e+01,3.508427047729492188e+01,3.491014099121093750e+01
3.396276855468750000e+01,3.401597976684570312e+01,3.408589553833007812e+01,3.389357376098632812e+01
3.299354553222656250e+01,3.301716613769531250e+01,3.314431762695312500e+01,3.293345260620117188e+01
3.214004898071289062e+01,3.213749694824218750e+01,3.231507873535156250e+01,3.208749389648437500e+01
3.126936149597167969e+01,3.124347877502441406e+01,3.146822547912597656e+01,3.122299766540527344e+01
3.102128601074218750e+01,3.098136138916015625e+01,3.122786140441894531e+01,3.098014831542968750e+01
3.056476402282714844e+01,3.050992584228515625e+01,3.078624343872070312e+01,3.052818679809570312e+01
3.000871276855468750e+01,2.994063186645507812e+01,3.024625396728515625e+01,2.997585868835449219e+01
2.951798629760742188e+01,2.944001770019531250e+01,2.976806640625000000e+01,2.948816108703613281e+01
