# open,high,low,close
3.410205841064453125e+00,3.408987522125244141e+00,3.497574806213378906e+00,3.363423109054565430e+00
1.636122512817382812e+01,1.712292671203613281e+01,1.678620719909667969e+01,1.694088745117187500e+01
3.843157958984375000e+01,4.021031951904296875e+01,3.990230178833007812e+01,4.017525482177734375e+01
4.339435577392578125e+01,4.476686096191406250e+01,4.529216384887695312e+01,4.500154876708984375e+01
4.074050521850585938e+01,4.152837371826171875e+01,4.265761184692382812e+01,4.182217407226562500e+01
4.151644897460937500e+01,4.222073364257812500e+01,4.359812545776367188e+01,4.256414031982421875e+01
4.273566436767578125e+01,4.341939544677734375e+01,4.495637130737304688e+01,4.381762695312500000e+01
4.286308288574218750e+01,4.347251510620117188e+01,4.515151596069335938e+01,4.391267013549804688e+01
4.389526748657226562e+01,4.452655029296875000e+01,4.628588104248046875e+01,4.501289367675781250e+01
4.458255386352539062e+01,4.519819259643554688e+01,4.704519653320312500e+01,4.573811340332031250e+01
4.664387512207031250e+01,4.733785629272460938e+01,4.924027252197265625e+01,4.794602584838867188e+01
4.564261245727539062e+01,4.616729736328125000e+01,4.821070861816406250e+01,4.682313537597656250e+01
4.446945571899414062e+01,4.488850402832031250e+01,4.701434707641601562e+01,4.557364273071289062e+01
4.263095474243164062e+01,4.293642044067382812e+01,4.512091064453125000e+01,4.364427185058593750e+01
4.484460830688476562e+01,4.534059906005859375e+01,4.746171569824218750e+01,4.609329605102539062e+01
4.580775070190429688e+01,4.631376647949218750e+01,4.847887420654296875e+01,4.711561584472656250e+01
