# open,high,low,close
4.459467697143554688e+01,4.489975357055664062e+01,4.519353866577148438e+01,4.469038772583007812e+01
1.625613098144531250e+02,1.637164459228515625e+02,1.627779388427734375e+02,1.634470825195312500e+02
1.966986846923828125e+02,1.981630554199218750e+02,1.968190460205078125e+02,1.977776489257812500e+02
2.101152343750000000e+02,2.116605224609375000e+02,2.101506042480468750e+02,2.112145996093750000e+02
2.109092102050781250e+02,2.124666442871093750e+02,2.109674224853515625e+02,2.119382324218750000e+02
2.173121490478515625e+02,2.188811798095703125e+02,2.173688507080078125e+02,2.183033447265625000e+02
2.158369445800781250e+02,2.173383941650390625e+02,2.159208984375000000e+02,2.167266845703125000e+02
2.139685516357421875e+02,2.153954620361328125e+02,2.140864868164062500e+02,2.147749023437500000e+02
2.137436218261718750e+02,2.151097412109375000e+02,2.138861236572265625e+02,2.144958496093750000e+02
2.127662811279296875e+02,2.140696563720703125e+02,2.129315490722656250e+02,2.134662017822265625e+02
2.111485748291015625e+02,2.123953247070312500e+02,2.113352966308593750e+02,2.118054199218750000e+02
2.092649688720703125e+02,2.104587707519531250e+02,2.094709930419921875e+02,2.098829345703125000e+02
2.080321655273437500e+02,2.091934356689453125e+02,2.082510223388671875e+02,2.086323547363281250e+02
2.067770538330078125e+02,2.079066619873046875e+02,2.070068054199218750e+02,2.073572998046875000e+02
2.051113128662109375e+02,2.062148437500000000e+02,2.053510589599609375e+02,2.056760406494140625e+02
2.039439086914062500e+02,2.050302276611328125e+02,2.041901245117187500e+02,2.045006561279296875e+02
