# open,high,low,close
3.836182022094726562e+01,3.832450103759765625e+01,3.830207443237304688e+01,3.838330459594726562e+01
8.761001586914062500e+01,8.800059509277343750e+01,8.726190948486328125e+01,8.802770233154296875e+01
9.728173065185546875e+01,9.769303131103515625e+01,9.691210174560546875e+01,9.774437713623046875e+01
9.723464965820312500e+01,9.754891967773437500e+01,9.690170288085937500e+01,9.761910247802734375e+01
9.229214477539062500e+01,9.245609283447265625e+01,9.202064514160156250e+01,9.253761291503906250e+01
9.336455535888671875e+01,9.347891998291015625e+01,9.308544921875000000e+01,9.355752563476562500e+01
9.390686798095703125e+01,9.397978973388671875e+01,9.362155151367187500e+01,9.405458068847656250e+01
9.623714447021484375e+01,9.630437469482421875e+01,9.592761230468750000e+01,9.637389373779296875e+01
9.980423736572265625e+01,9.987530517578125000e+01,9.947126770019531250e+01,9.994877624511718750e+01
1.028832168579101562e+02,1.029416580200195312e+02,1.025426330566406250e+02,1.030294036865234375e+02
1.045650253295898438e+02,1.045944900512695312e+02,1.042298355102539062e+02,1.046984786987304688e+02
1.002529449462890625e+02,1.001907272338867188e+02,9.996079254150390625e+01,1.002993469238281250e+02
1.030758972167968750e+02,1.030641021728515625e+02,1.027436904907226562e+02,1.031612472534179688e+02
1.044011840820312500e+02,1.043715209960937500e+02,1.040718078613281250e+02,1.044801635742187500e+02
1.017059936523437500e+02,1.016221694946289062e+02,1.014015045166015625e+02,1.017347335815429688e+02
8.987143707275390625e+01,8.960928344726562500e+01,8.966558837890625000e+01,8.971522521972656250e+01
