# open,high,low,close
4.798844146728515625e+01,4.790787887573242188e+01,4.850519943237304688e+01,4.794650268554687500e+01
3.817789840698242188e+01,3.810286712646484375e+01,3.862211608886718750e+01,3.812870025634765625e+01
2.774450683593750000e+01,2.767746543884277344e+01,2.813445091247558594e+01,2.772310638427734375e+01
2.024391937255859375e+01,2.017344665527343750e+01,2.061626052856445312e+01,2.025997161865234375e+01
1.696648406982421875e+01,1.688089561462402344e+01,1.735580635070800781e+01,1.701951980590820312e+01
1.646858406066894531e+01,1.636090660095214844e+01,1.688394546508789062e+01,1.655054855346679688e+01
1.588150405883789062e+01,1.574976348876953125e+01,1.630535125732421875e+01,1.598090744018554688e+01
1.395370006561279297e+01,1.379895591735839844e+01,1.436466121673583984e+01,1.406272888183593750e+01
1.101474666595458984e+01,1.083923816680908203e+01,1.139988994598388672e+01,1.113053703308105469e+01
8.007658004760742188e+00,7.813897609710693359e+00,8.363862991333007812e+00,8.129323959350585938e+00
5.816111564636230469e+00,5.606840133666992188e+00,6.147262573242187500e+00,5.942120075225830078e+00
4.657407760620117188e+00,4.436157703399658203e+00,4.968793392181396484e+00,4.785054206848144531e+00
4.462105274200439453e+00,4.232941627502441406e+00,4.758787155151367188e+00,4.588054656982421875e+00
4.799784183502197266e+00,4.567012786865234375e+00,5.084820270538330078e+00,4.921201229095458984e+00
5.387391567230224609e+00,5.154684543609619141e+00,5.663258075714111328e+00,5.502578735351562500e+00
5.949668884277343750e+00,5.719861030578613281e+00,6.218166828155517578e+00,6.058276176452636719e+00
