# open,high,low,close
7.118615722656250000e+01,7.126610565185546875e+01,7.213166046142578125e+01,7.104167175292968750e+01
5.712007904052734375e+01,5.707121276855468750e+01,5.795631027221679688e+01,5.691382598876953125e+01
3.948314666748046875e+01,3.924813079833984375e+01,4.018507003784179688e+01,3.918362808227539062e+01
2.760089874267578125e+01,2.724955749511718750e+01,2.822329330444335938e+01,2.726484489440917969e+01
2.444353675842285156e+01,2.408213233947753906e+01,2.505688667297363281e+01,2.414029502868652344e+01
2.483199501037597656e+01,2.451782608032226562e+01,2.546253776550292969e+01,2.459370803833007812e+01
2.189119148254394531e+01,2.160983848571777344e+01,2.251638603210449219e+01,2.171143341064453125e+01
1.725940132141113281e+01,1.699557876586914062e+01,1.786220932006835938e+01,1.712645721435546875e+01
1.288745021820068359e+01,1.264054679870605469e+01,1.346370315551757812e+01,1.279728698730468750e+01
9.919559478759765625e+00,9.697204589843750000e+00,1.047365856170654297e+01,9.871574401855468750e+00
8.589015960693359375e+00,8.398685455322265625e+00,9.128345489501953125e+00,8.581248283386230469e+00
8.357813835144042969e+00,8.200889587402343750e+00,8.887999534606933594e+00,8.384899139404296875e+00
8.245046615600585938e+00,8.114829063415527344e+00,8.767023086547851562e+00,8.298902511596679688e+00
8.216477394104003906e+00,8.106348991394042969e+00,8.731311798095703125e+00,8.289887428283691406e+00
8.159463882446289062e+00,8.062955856323242188e+00,8.667750358581542969e+00,8.246186256408691406e+00
8.349936485290527344e+00,8.263694763183593750e+00,8.853956222534179688e+00,8.445545196533203125e+00
