# open,high,low,close
1.292814483642578125e+02,1.295779266357421875e+02,1.294720458984375000e+02,1.288514251708984375e+02
1.199891967773437500e+02,1.201359176635742188e+02,1.201088409423828125e+02,1.194695739746093750e+02
1.156505889892578125e+02,1.157648773193359375e+02,1.157924880981445312e+02,1.152033538818359375e+02
1.141277008056640625e+02,1.142423171997070312e+02,1.142994155883789062e+02,1.137520523071289062e+02
1.133080673217773438e+02,1.134232482910156250e+02,1.134964981079101562e+02,1.129768753051757812e+02
1.130542831420898438e+02,1.131731643676757812e+02,1.132523803710937500e+02,1.127506256103515625e+02
1.113468017578125000e+02,1.114440841674804688e+02,1.115342483520507812e+02,1.110438766479492188e+02
1.083882522583007812e+02,1.084478683471679688e+02,1.085585784912109375e+02,1.080830612182617188e+02
1.079309921264648438e+02,1.079942169189453125e+02,1.081115951538085938e+02,1.076549301147460938e+02
1.077271652221679688e+02,1.077931442260742188e+02,1.079117431640625000e+02,1.074665908813476562e+02
1.076800308227539062e+02,1.077489471435546875e+02,1.078657913208007812e+02,1.074275817871093750e+02
1.064138946533203125e+02,1.064668960571289062e+02,1.065886535644531250e+02,1.061564102172851562e+02
1.068334503173828125e+02,1.068966674804687500e+02,1.070149230957031250e+02,1.065886077880859375e+02
1.059945449829101562e+02,1.060471954345703125e+02,1.061676940917968750e+02,1.057449035644531250e+02
1.057877731323242188e+02,1.058403167724609375e+02,1.059609756469726562e+02,1.055427398681640625e+02
1.044903106689453125e+02,1.045264968872070312e+02,1.046539382934570312e+02,1.042412948608398438e+02
