# open,high,low,close
2.653935623168945312e+01,2.649163246154785156e+01,2.654746246337890625e+01,2.650009918212890625e+01
4.094030380249023438e+01,4.120030593872070312e+01,4.127363586425781250e+01,4.141473007202148438e+01
3.911067962646484375e+01,3.924174880981445312e+01,3.916694641113281250e+01,3.934939193725585938e+01
4.226052474975585938e+01,4.252621841430664062e+01,4.237611389160156250e+01,4.265521240234375000e+01
4.133728790283203125e+01,4.151397323608398438e+01,4.121332931518554688e+01,4.152944946289062500e+01
4.280284881591796875e+01,4.308842849731445312e+01,4.274286651611328125e+01,4.311737060546875000e+01
4.130879592895507812e+01,4.147574996948242188e+01,4.101070404052734375e+01,4.138660430908203125e+01
4.196530914306640625e+01,4.220658874511718750e+01,4.176637268066406250e+01,4.215215301513671875e+01
4.140451431274414062e+01,4.158528518676757812e+01,4.109624099731445312e+01,4.148247146606445312e+01
4.095151901245117188e+01,4.112503814697265625e+01,4.064382171630859375e+01,4.101619720458984375e+01
4.136122131347656250e+01,4.155637359619140625e+01,4.108861541748046875e+01,4.146618652343750000e+01
4.056266021728515625e+01,4.070628356933593750e+01,4.022116851806640625e+01,4.058391189575195312e+01
4.031933593750000000e+01,4.046226119995117188e+01,4.000613403320312500e+01,4.035148620605468750e+01
3.913917541503906250e+01,3.922706604003906250e+01,3.878484344482421875e+01,3.909412765502929688e+01
3.852383041381835938e+01,3.859384536743164062e+01,3.820653533935546875e+01,3.847892379760742188e+01
3.769223403930664062e+01,3.772979736328125000e+01,3.738806152343750000e+01,3.762305450439453125e+01
