# open,high,low,close
7.731657409667968750e+01,7.756514739990234375e+01,7.735493469238281250e+01,7.704261779785156250e+01
6.520806884765625000e+01,6.530060577392578125e+01,6.523526763916015625e+01,6.487367248535156250e+01
5.525924301147460938e+01,5.521387100219726562e+01,5.529961013793945312e+01,5.492900085449218750e+01
4.918407440185546875e+01,4.904686355590820312e+01,4.922908020019531250e+01,4.890614318847656250e+01
4.690388107299804688e+01,4.673356246948242188e+01,4.694623565673828125e+01,4.670563507080078125e+01
4.634144973754882812e+01,4.617254638671875000e+01,4.638126754760742188e+01,4.621858215332031250e+01
4.520789718627929688e+01,4.503900527954101562e+01,4.525004196166992188e+01,4.513837051391601562e+01
4.354399871826171875e+01,4.336927413940429688e+01,4.359173583984375000e+01,4.351306533813476562e+01
4.224860382080078125e+01,4.207273483276367188e+01,4.230255126953125000e+01,4.225133132934570312e+01
4.105448532104492188e+01,4.087809753417968750e+01,4.111546325683593750e+01,4.108539581298828125e+01
4.032046890258789062e+01,4.014872360229492188e+01,4.038854598999023438e+01,4.037692642211914062e+01
3.956016159057617188e+01,3.939140701293945312e+01,3.963606262207031250e+01,3.963680648803710938e+01
3.935036087036132812e+01,3.919083404541015625e+01,3.943333053588867188e+01,3.944562530517578125e+01
3.935048675537109375e+01,3.920174026489257812e+01,3.944042587280273438e+01,3.945977783203125000e+01
3.989926528930664062e+01,3.976733398437500000e+01,3.999508285522460938e+01,4.001957321166992188e+01
3.997426986694335938e+01,3.985058975219726562e+01,4.007633209228515625e+01,4.009742736816406250e+01
