# open,high,low,close
5.108387374877929688e+01,5.004275512695312500e+01,5.118989181518554688e+01,5.036302185058593750e+01
8.803855133056640625e+01,8.768089294433593750e+01,8.814224243164062500e+01,8.791635894775390625e+01
1.403911895751953125e+02,1.411152801513671875e+02,1.405292510986328125e+02,1.409766845703125000e+02
1.909087982177734375e+02,1.926149597167968750e+02,1.910663909912109375e+02,1.920241241455078125e+02
2.238536224365234375e+02,2.260622863769531250e+02,2.240595092773437500e+02,2.252629394531250000e+02
2.334246520996093750e+02,2.356487731933593750e+02,2.337852172851562500e+02,2.349341278076171875e+02
2.314736175537109375e+02,2.334828186035156250e+02,2.319804534912109375e+02,2.329662322998046875e+02
2.322881774902343750e+02,2.340814666748046875e+02,2.328114471435546875e+02,2.337516632080078125e+02
2.366491699218750000e+02,2.382754364013671875e+02,2.371122741699218750e+02,2.381091918945312500e+02
2.403995208740234375e+02,2.418773956298828125e+02,2.408034667968750000e+02,2.418689880371093750e+02
2.424729003906250000e+02,2.438127899169921875e+02,2.428323974609375000e+02,2.439517364501953125e+02
2.425765991210937500e+02,2.437805023193359375e+02,2.429065704345703125e+02,2.440536956787109375e+02
2.430568084716796875e+02,2.441519775390625000e+02,2.433426055908203125e+02,2.445286102294921875e+02
2.429603118896484375e+02,2.439577941894531250e+02,2.432050170898437500e+02,2.444188842773437500e+02
2.424908599853515625e+02,2.434006958007812500e+02,2.426951293945312500e+02,2.439287109375000000e+02
2.414424133300781250e+02,2.422680664062500000e+02,2.416100006103515625e+02,2.428503112792968750e+02
