# open,high,low,close
3.925603103637695312e+01,3.803417205810546875e+01,3.873088836669921875e+01,3.866899871826171875e+01
9.287159729003906250e+01,9.288066864013671875e+01,9.237813568115234375e+01,9.259675598144531250e+01
9.317996215820312500e+01,9.320674133300781250e+01,9.286939239501953125e+01,9.287903594970703125e+01
9.831636810302734375e+01,9.840896606445312500e+01,9.807487487792968750e+01,9.796300506591796875e+01
9.738953399658203125e+01,9.738034820556640625e+01,9.722516632080078125e+01,9.692160034179687500e+01
9.776026153564453125e+01,9.770851898193359375e+01,9.761855316162109375e+01,9.722553253173828125e+01
9.685307312011718750e+01,9.672287750244140625e+01,9.675290679931640625e+01,9.625519561767578125e+01
9.655628204345703125e+01,9.638721466064453125e+01,9.646710968017578125e+01,9.593128967285156250e+01
9.778585052490234375e+01,9.764562988281250000e+01,9.768650054931640625e+01,9.717694091796875000e+01
9.800110626220703125e+01,9.784877777099609375e+01,9.793142700195312500e+01,9.739099884033203125e+01
9.596079254150390625e+01,9.571873474121093750e+01,9.593731689453125000e+01,9.531103515625000000e+01
9.535204315185546875e+01,9.509138488769531250e+01,9.531980895996093750e+01,9.470689392089843750e+01
9.497055053710937500e+01,9.469527435302734375e+01,9.495140075683593750e+01,9.433418273925781250e+01
9.472623443603515625e+01,9.444447326660156250e+01,9.471574401855468750e+01,9.410175323486328125e+01
9.398059082031250000e+01,9.367408752441406250e+01,9.398756408691406250e+01,9.335707092285156250e+01
9.460389709472656250e+01,9.432616424560546875e+01,9.459953308105468750e+01,9.400608062744140625e+01
