# open,high,low,close
6.411154937744140625e+01,6.438120269775390625e+01,6.469841766357421875e+01,6.454156494140625000e+01
7.835734863281250000e+02,7.886607666015625000e+02,7.837042236328125000e+02,7.816671142578125000e+02
1.313727661132812500e+03,1.322226074218750000e+03,1.312880493164062500e+03,1.309014282226562500e+03
1.466295043945312500e+03,1.475250122070312500e+03,1.464752319335937500e+03,1.459808227539062500e+03
1.567396240234375000e+03,1.576804077148437500e+03,1.565651000976562500e+03,1.559983032226562500e+03
1.613421386718750000e+03,1.623049926757812500e+03,1.611523803710937500e+03,1.605504516601562500e+03
1.633317871093750000e+03,1.642985839843750000e+03,1.631524658203125000e+03,1.625230712890625000e+03
1.623168823242187500e+03,1.632671997070312500e+03,1.621589477539062500e+03,1.615156738281250000e+03
1.601485961914062500e+03,1.610739868164062500e+03,1.600042480468750000e+03,1.593577758789062500e+03
1.568911621093750000e+03,1.577836181640625000e+03,1.567547973632812500e+03,1.561126342773437500e+03
1.549732177734375000e+03,1.558487060546875000e+03,1.548282470703125000e+03,1.541969360351562500e+03
1.541957763671875000e+03,1.550646972656250000e+03,1.540366333007812500e+03,1.534147827148437500e+03
1.553990966796875000e+03,1.562804931640625000e+03,1.552165039062500000e+03,1.546008300781250000e+03
1.566770263671875000e+03,1.575699340820312500e+03,1.564771850585937500e+03,1.558610107421875000e+03
1.587089477539062500e+03,1.596216796875000000e+03,1.584899780273437500e+03,1.578711547851562500e+03
1.604164306640625000e+03,1.613453735351562500e+03,1.601839111328125000e+03,1.595594360351562500e+03
