# open,high,low,close
4.532173919677734375e+01,4.555764389038085938e+01,4.483893203735351562e+01,4.510967636108398438e+01
2.313420410156250000e+02,2.332259216308593750e+02,2.331966552734375000e+02,2.324952850341796875e+02
3.191396484375000000e+02,3.213040771484375000e+02,3.215110168457031250e+02,3.202196044921875000e+02
3.521549682617187500e+02,3.541980285644531250e+02,3.544948425292968750e+02,3.530560302734375000e+02
3.746629943847656250e+02,3.765841369628906250e+02,3.768598632812500000e+02,3.752526550292968750e+02
3.903702697753906250e+02,3.921608886718750000e+02,3.924736938476562500e+02,3.907397155761718750e+02
3.991377868652343750e+02,4.007970581054687500e+02,4.012557983398437500e+02,3.993939819335937500e+02
4.015087890625000000e+02,4.030502014160156250e+02,4.036252746582031250e+02,4.016572265625000000e+02
4.027542419433593750e+02,4.041925048828125000e+02,4.049434204101562500e+02,4.028517150878906250e+02
3.993699035644531250e+02,4.007102355957031250e+02,4.015913391113281250e+02,3.994145202636718750e+02
3.959226989746093750e+02,3.971815795898437500e+02,3.981867370605468750e+02,3.959322814941406250e+02
3.912922973632812500e+02,3.924808959960937500e+02,3.935750427246093750e+02,3.912702331542968750e+02
3.881749572753906250e+02,3.893267822265625000e+02,3.904602966308593750e+02,3.881300354003906250e+02
3.854048767089843750e+02,3.865211181640625000e+02,3.877027282714843750e+02,3.853509216308593750e+02
3.834810180664062500e+02,3.845867919921875000e+02,3.857678833007812500e+02,3.834204406738281250e+02
3.816003723144531250e+02,3.826844787597656250e+02,3.838944396972656250e+02,3.815437316894531250e+02
