# open,high,low,close
6.121059036254882812e+01,6.128334426879882812e+01,6.124953079223632812e+01,6.117075729370117188e+01
5.448934936523437500e+01,5.454030990600585938e+01,5.445979690551757812e+01,5.438803863525390625e+01
4.857912826538085938e+01,4.859753417968750000e+01,4.849776458740234375e+01,4.842082977294921875e+01
4.479474258422851562e+01,4.478585052490234375e+01,4.470357131958007812e+01,4.461170196533203125e+01
4.197999572753906250e+01,4.194580078125000000e+01,4.191043853759765625e+01,4.179629898071289062e+01
3.985940551757812500e+01,3.980274200439453125e+01,3.982773590087890625e+01,3.968851852416992188e+01
3.793565368652343750e+01,3.785870361328125000e+01,3.794468688964843750e+01,3.778033447265625000e+01
3.632115173339843750e+01,3.622779083251953125e+01,3.636752700805664062e+01,3.618074035644531250e+01
3.469956970214843750e+01,3.459226226806640625e+01,3.477605438232421875e+01,3.456990432739257812e+01
3.322630691528320312e+01,3.310816192626953125e+01,3.332582855224609375e+01,3.310405731201171875e+01
3.199721145629882812e+01,3.187115478515625000e+01,3.211435317993164062e+01,3.188046646118164062e+01
3.087166213989257812e+01,3.073913192749023438e+01,3.100218963623046875e+01,3.075855827331542969e+01
3.041336822509765625e+01,3.027822303771972656e+01,3.055633163452148438e+01,3.030624389648437500e+01
2.989689254760742188e+01,2.975834083557128906e+01,3.005044746398925781e+01,2.979439544677734375e+01
2.924655914306640625e+01,2.910396575927734375e+01,2.940830421447753906e+01,2.914663505554199219e+01
2.866449165344238281e+01,2.851851272583007812e+01,2.883279800415039062e+01,2.856641769409179688e+01
