# open,high,low,close
3.571655511856079102e+00,3.516617298126220703e+00,3.663855314254760742e+00,3.522275924682617188e+00
2.089399528503417969e+01,2.123551940917968750e+01,2.239711761474609375e+01,2.179962921142578125e+01
4.217019653320312500e+01,4.304545974731445312e+01,4.501467895507812500e+01,4.400032424926757812e+01
4.257930374145507812e+01,4.343379211425781250e+01,4.541933822631835938e+01,4.406861877441406250e+01
4.114910888671875000e+01,4.186957168579101562e+01,4.386149978637695312e+01,4.233637237548828125e+01
4.200432205200195312e+01,4.269446563720703125e+01,4.476052093505859375e+01,4.314056015014648438e+01
4.358235931396484375e+01,4.429465103149414062e+01,4.643737411499023438e+01,4.475743103027343750e+01
4.448599243164062500e+01,4.520348358154296875e+01,4.738704681396484375e+01,4.566347122192382812e+01
4.553357696533203125e+01,4.626031494140625000e+01,4.848440170288085938e+01,4.672469329833984375e+01
4.592839431762695312e+01,4.664395904541015625e+01,4.888553237915039062e+01,4.709852600097656250e+01
4.729951095581054688e+01,4.803995132446289062e+01,5.032342529296875000e+01,4.851438522338867188e+01
4.631860733032226562e+01,4.700247192382812500e+01,4.926346206665039062e+01,4.743960952758789062e+01
4.519618225097656250e+01,4.581361770629882812e+01,4.806434249877929688e+01,4.622773742675781250e+01
4.343350601196289062e+01,4.397497940063476562e+01,4.619275665283203125e+01,4.435962295532226562e+01
4.491156387329101562e+01,4.550122070312500000e+01,4.778552246093750000e+01,4.594256591796875000e+01
4.585732269287109375e+01,4.648782730102539062e+01,4.878870773315429688e+01,4.694762039184570312e+01
