# open,high,low,close
4.516524124145507812e+01,4.559310531616210938e+01,4.597937393188476562e+01,4.538455200195312500e+01
1.299169921875000000e+02,1.301728057861328125e+02,1.301681518554687500e+02,1.307795562744140625e+02
1.659930725097656250e+02,1.661883544921875000e+02,1.660367279052734375e+02,1.670461120605468750e+02
1.833925323486328125e+02,1.835414276123046875e+02,1.833361053466796875e+02,1.844740295410156250e+02
1.982429656982421875e+02,1.983440093994140625e+02,1.980831451416015625e+02,1.993395690917968750e+02
2.054632110595703125e+02,2.055230712890625000e+02,2.052500305175781250e+02,2.065367279052734375e+02
2.090477142333984375e+02,2.090777893066406250e+02,2.088073120117187500e+02,2.100691070556640625e+02
2.124669799804687500e+02,2.124738616943359375e+02,2.121923217773437500e+02,2.134497070312500000e+02
2.132167510986328125e+02,2.132131958007812500e+02,2.129324493408203125e+02,2.141534576416015625e+02
2.131995086669921875e+02,2.131949310302734375e+02,2.129144134521484375e+02,2.140840911865234375e+02
2.125875091552734375e+02,2.125868835449218750e+02,2.123060913085937500e+02,2.134309692382812500e+02
2.112637023925781250e+02,2.112720642089843750e+02,2.109949035644531250e+02,2.120692596435546875e+02
2.101359405517578125e+02,2.101510772705078125e+02,2.098786468505859375e+02,2.109183044433593750e+02
2.088393402099609375e+02,2.088622894287109375e+02,2.085963897705078125e+02,2.096022949218750000e+02
2.076782989501953125e+02,2.077074584960937500e+02,2.074485168457031250e+02,2.084280700683593750e+02
2.068118286132812500e+02,2.068451690673828125e+02,2.065923156738281250e+02,2.075546722412109375e+02
