# open,high,low,close
3.729360198974609375e+01,3.715999984741210938e+01,3.712564086914062500e+01,3.715150070190429688e+01
7.800911712646484375e+01,7.832781982421875000e+01,7.789996337890625000e+01,7.870715332031250000e+01
8.701730346679687500e+01,8.748517608642578125e+01,8.703544616699218750e+01,8.794236755371093750e+01
8.848961639404296875e+01,8.898592376708984375e+01,8.853059387207031250e+01,8.938756561279296875e+01
8.726502227783203125e+01,8.773217010498046875e+01,8.728694152832031250e+01,8.804361724853515625e+01
9.040455627441406250e+01,9.090240478515625000e+01,9.043294525146484375e+01,9.119556427001953125e+01
9.179509735107421875e+01,9.228382110595703125e+01,9.181483459472656250e+01,9.254607391357421875e+01
9.367555236816406250e+01,9.416698455810546875e+01,9.369480895996093750e+01,9.441832733154296875e+01
9.652573394775390625e+01,9.703583526611328125e+01,9.655657196044921875e+01,9.730284118652343750e+01
9.905811309814453125e+01,9.957868957519531250e+01,9.909986114501953125e+01,9.986328887939453125e+01
1.008088226318359375e+02,1.013289871215820312e+02,1.008569107055664062e+02,1.016225662231445312e+02
9.866796112060546875e+01,9.911695098876953125e+01,9.868122100830078125e+01,9.935125732421875000e+01
1.006240005493164062e+02,1.011240310668945312e+02,1.006626663208007812e+02,1.013918228149414062e+02
1.019623336791992188e+02,1.024520721435546875e+02,1.020002441406250000e+02,1.027291183471679688e+02
1.001125793457031250e+02,1.005511245727539062e+02,1.001267013549804688e+02,1.007859573364257812e+02
9.168978118896484375e+01,9.196407318115234375e+01,9.161709594726562500e+01,9.206186676025390625e+01
