# open,high,low,close
4.780167770385742188e+01,4.771463775634765625e+01,4.852450942993164062e+01,4.814026641845703125e+01
3.835421371459960938e+01,3.826869964599609375e+01,3.893113327026367188e+01,3.855921554565429688e+01
3.041615295410156250e+01,3.032693290710449219e+01,3.087298774719238281e+01,3.051594161987304688e+01
2.618155288696289062e+01,2.607826232910156250e+01,2.659083557128906250e+01,2.623804855346679688e+01
2.109457969665527344e+01,2.097389030456542969e+01,2.144640350341796875e+01,2.110014152526855469e+01
1.781885147094726562e+01,1.768020057678222656e+01,1.814061737060546875e+01,1.779889106750488281e+01
1.530510330200195312e+01,1.514928722381591797e+01,1.560545444488525391e+01,1.526879882812500000e+01
1.326907157897949219e+01,1.309877967834472656e+01,1.355133533477783203e+01,1.322053623199462891e+01
1.138709354400634766e+01,1.120561981201171875e+01,1.164968013763427734e+01,1.132589912414550781e+01
9.773994445800781250e+00,9.584136962890625000e+00,1.001810455322265625e+01,9.701664924621582031e+00
8.778367996215820312e+00,8.581895828247070312e+00,9.012119293212890625e+00,8.701642990112304688e+00
8.116863250732421875e+00,7.915501594543457031e+00,8.344319343566894531e+00,8.038739204406738281e+00
7.827352046966552734e+00,7.622549057006835938e+00,8.053472518920898438e+00,7.751326084136962891e+00
7.612401008605957031e+00,7.405642032623291016e+00,7.837335586547851562e+00,7.537955760955810547e+00
7.578378677368164062e+00,7.370622158050537109e+00,7.804221630096435547e+00,7.506611824035644531e+00
7.527544975280761719e+00,7.319582939147949219e+00,7.753326892852783203e+00,7.457122325897216797e+00
