# open,high,low,close
7.222410583496093750e+01,7.261495971679687500e+01,7.315126037597656250e+01,7.208094024658203125e+01
6.459680175781250000e+01,6.491339111328125000e+01,6.539237976074218750e+01,6.437494659423828125e+01
5.245095825195312500e+01,5.267096328735351562e+01,5.309422302246093750e+01,5.219668197631835938e+01
4.296952438354492188e+01,4.310108184814453125e+01,4.352649307250976562e+01,4.272817230224609375e+01
3.780713653564453125e+01,3.787083816528320312e+01,3.834340286254882812e+01,3.759070587158203125e+01
3.425220108032226562e+01,3.426285552978515625e+01,3.478842163085937500e+01,3.406182479858398438e+01
3.020854377746582031e+01,3.017305755615234375e+01,3.073336410522460938e+01,3.004293251037597656e+01
2.642993164062500000e+01,2.635676956176757812e+01,2.694285011291503906e+01,2.629123878479003906e+01
2.296527099609375000e+01,2.286211585998535156e+01,2.346634674072265625e+01,2.285389518737792969e+01
1.972215843200683594e+01,1.959536743164062500e+01,2.021025657653808594e+01,1.963776206970214844e+01
1.683976364135742188e+01,1.669497108459472656e+01,1.731599998474121094e+01,1.678167915344238281e+01
1.444953441619873047e+01,1.429177665710449219e+01,1.491711425781250000e+01,1.441651535034179688e+01
1.231821441650390625e+01,1.215115261077880859e+01,1.277719116210937500e+01,1.230846214294433594e+01
1.081907367706298828e+01,1.064635276794433594e+01,1.127517700195312500e+01,1.083029460906982422e+01
9.722057342529296875e+00,9.546391487121582031e+00,1.017776393890380859e+01,9.751546859741210938e+00
9.182684898376464844e+00,9.006555557250976562e+00,9.642905235290527344e+00,9.227382659912109375e+00
