# open,high,low,close
5.593521728515625000e+02,5.628535766601562500e+02,5.630586547851562500e+02,5.612254028320312500e+02
8.522585449218750000e+02,8.596582031250000000e+02,8.617969970703125000e+02,8.601170654296875000e+02
1.041648803710937500e+03,1.051116699218750000e+03,1.053940063476562500e+03,1.052757446289062500e+03
1.024113281250000000e+03,1.031207763671875000e+03,1.034830566406250000e+03,1.032991699218750000e+03
1.003839416503906250e+03,1.009396850585937500e+03,1.013089965820312500e+03,1.011198120117187500e+03
1.033333984375000000e+03,1.038846069335937500e+03,1.042383911132812500e+03,1.040614257812500000e+03
1.045666015625000000e+03,1.050861694335937500e+03,1.054364013671875000e+03,1.052458129882812500e+03
1.047770629882812500e+03,1.052603271484375000e+03,1.056057739257812500e+03,1.053992919921875000e+03
1.057796752929687500e+03,1.062594360351562500e+03,1.065950195312500000e+03,1.063799926757812500e+03
1.061852539062500000e+03,1.066540161132812500e+03,1.069841674804687500e+03,1.067558837890625000e+03
1.076380493164062500e+03,1.081250488281250000e+03,1.084453369140625000e+03,1.082135986328125000e+03
1.079715454101562500e+03,1.084504760742187500e+03,1.087680786132812500e+03,1.085249023437500000e+03
1.084523681640625000e+03,1.089319824218750000e+03,1.092440429687500000e+03,1.089954467773437500e+03
1.080266479492187500e+03,1.084896728515625000e+03,1.088002807617187500e+03,1.085412841796875000e+03
1.074223388671875000e+03,1.078720947265625000e+03,1.081801147460937500e+03,1.079129882812500000e+03
1.069866577148437500e+03,1.074318725585937500e+03,1.077371459960937500e+03,1.074635009765625000e+03
