# open,high,low,close
7.216470336914062500e+01,7.231763458251953125e+01,7.226821136474609375e+01,7.211476898193359375e+01
6.540187835693359375e+01,6.549744415283203125e+01,6.546327209472656250e+01,6.530261993408203125e+01
6.088715744018554688e+01,6.090837478637695312e+01,6.092977142333984375e+01,6.079051971435546875e+01
5.823672103881835938e+01,5.820037460327148438e+01,5.827543640136718750e+01,5.816878890991210938e+01
5.725323104858398438e+01,5.718344879150390625e+01,5.729895019531250000e+01,5.722427749633789062e+01
5.658101272583007812e+01,5.649678802490234375e+01,5.663157653808593750e+01,5.658115386962890625e+01
5.560875320434570312e+01,5.551860046386718750e+01,5.565760040283203125e+01,5.562466049194335938e+01
5.374201583862304688e+01,5.364535903930664062e+01,5.377833175659179688e+01,5.376009750366210938e+01
5.301996994018554688e+01,5.292104339599609375e+01,5.305364608764648438e+01,5.304928207397460938e+01
5.214503479003906250e+01,5.204549789428710938e+01,5.217324066162109375e+01,5.218036270141601562e+01
5.151501083374023438e+01,5.141609573364257812e+01,5.153934478759765625e+01,5.155640411376953125e+01
5.045803833007812500e+01,5.035817718505859375e+01,5.047351455688476562e+01,5.049995040893554688e+01
4.987535095214843750e+01,4.977532196044921875e+01,4.988660430908203125e+01,4.992223739624023438e+01
4.909991836547851562e+01,4.899912643432617188e+01,4.910458374023437500e+01,4.914885711669921875e+01
4.867946624755859375e+01,4.857886505126953125e+01,4.868110275268554688e+01,4.873330688476562500e+01
4.844387435913085938e+01,4.834444427490234375e+01,4.844414138793945312e+01,4.850267028808593750e+01
