# open,high,low,close
7.212965393066406250e+01,7.043211364746093750e+01,7.287747955322265625e+01,7.079623413085937500e+01
6.215817642211914062e+01,6.087179183959960938e+01,6.276123809814453125e+01,6.117648696899414062e+01
5.052333831787109375e+01,4.971896362304687500e+01,5.101898193359375000e+01,4.998253250122070312e+01
4.129760742187500000e+01,4.089011764526367188e+01,4.173688507080078125e+01,4.112321090698242188e+01
3.601195907592773438e+01,3.585152053833007812e+01,3.643504714965820312e+01,3.606664276123046875e+01
3.439334869384765625e+01,3.433277130126953125e+01,3.483563613891601562e+01,3.454921340942382812e+01
3.520060729980468750e+01,3.513466644287109375e+01,3.568642425537109375e+01,3.536915969848632812e+01
3.928172683715820312e+01,3.906822967529296875e+01,3.983179473876953125e+01,3.934023284912109375e+01
4.466901016235351562e+01,4.424352264404296875e+01,4.529480361938476562e+01,4.455612564086914062e+01
4.877617645263671875e+01,4.817967224121093750e+01,4.945505142211914062e+01,4.851572036743164062e+01
5.060136032104492188e+01,4.991946029663085938e+01,5.129348373413085938e+01,5.025969314575195312e+01
5.055615615844726562e+01,4.986312103271484375e+01,5.123007202148437500e+01,5.019619750976562500e+01
4.981331253051757812e+01,4.914066314697265625e+01,5.045703887939453125e+01,4.946325302124023438e+01
4.891879653930664062e+01,4.827771377563476562e+01,4.953125762939453125e+01,4.858818435668945312e+01
4.818431091308593750e+01,4.757294464111328125e+01,4.877023696899414062e+01,4.787068939208984375e+01
4.766799545288085938e+01,4.708065795898437500e+01,4.823355865478515625e+01,4.736536788940429688e+01
