# open,high,low,close
6.604116058349609375e+01,6.613896179199218750e+01,6.605210876464843750e+01,6.620598602294921875e+01
6.129794692993164062e+01,6.132050704956054688e+01,6.124451828002929688e+01,6.132710647583007812e+01
5.694072341918945312e+01,5.690624618530273438e+01,5.684016036987304688e+01,5.686855316162109375e+01
5.425747299194335938e+01,5.419832611083984375e+01,5.413751602172851562e+01,5.414327621459960938e+01
5.256036758422851562e+01,5.249174118041992188e+01,5.244191360473632812e+01,5.243632125854492188e+01
5.153525161743164062e+01,5.146594238281250000e+01,5.143302917480468750e+01,5.142098617553710938e+01
5.071979522705078125e+01,5.065024948120117188e+01,5.063964080810546875e+01,5.061896514892578125e+01
4.923809051513671875e+01,4.915520858764648438e+01,4.917713546752929688e+01,4.913191986083984375e+01
4.824316787719726562e+01,4.815219879150390625e+01,4.819885253906250000e+01,4.813711547851562500e+01
4.779531478881835938e+01,4.770291900634765625e+01,4.776666641235351562e+01,4.769751358032226562e+01
4.765893936157226562e+01,4.756841278076171875e+01,4.764510726928710938e+01,4.757306289672851562e+01
4.785140991210937500e+01,4.776645278930664062e+01,4.785114669799804688e+01,4.778133392333984375e+01
5.036279296875000000e+01,5.031725311279296875e+01,5.037948608398437500e+01,5.035355377197265625e+01
5.022750091552734375e+01,5.017909240722656250e+01,5.025594711303710938e+01,5.022195434570312500e+01
4.977013778686523438e+01,4.971296691894531250e+01,4.980022048950195312e+01,4.975438308715820312e+01
4.941371917724609375e+01,4.934971237182617188e+01,4.944091796875000000e+01,4.938725280761718750e+01
