# open,high,low,close
7.777156066894531250e+01,7.803581237792968750e+01,7.800806427001953125e+01,7.765902709960937500e+01
6.832605743408203125e+01,6.845095062255859375e+01,6.847373199462890625e+01,6.819214630126953125e+01
6.045468521118164062e+01,6.047941589355468750e+01,6.054988861083984375e+01,6.032798767089843750e+01
5.561700439453125000e+01,5.559156036376953125e+01,5.570345306396484375e+01,5.551877593994140625e+01
5.337875366210937500e+01,5.334109497070312500e+01,5.348483657836914062e+01,5.331877136230468750e+01
5.153844451904296875e+01,5.148966217041015625e+01,5.165730667114257812e+01,5.150832366943359375e+01
4.901744079589843750e+01,4.894350814819335938e+01,4.913072204589843750e+01,4.900501632690429688e+01
4.665123748779296875e+01,4.655271911621093750e+01,4.675558471679687500e+01,4.665207672119140625e+01
4.515397644042968750e+01,4.504257583618164062e+01,4.525657272338867188e+01,4.516842269897460938e+01
4.374200820922851562e+01,4.361714172363281250e+01,4.383941650390625000e+01,4.376586532592773438e+01
4.284749603271484375e+01,4.271561813354492188e+01,4.294332504272460938e+01,4.288002777099609375e+01
4.176992034912109375e+01,4.162688446044921875e+01,4.185881042480468750e+01,4.180685806274414062e+01
4.137158584594726562e+01,4.122684478759765625e+01,4.146094894409179688e+01,4.141452789306640625e+01
4.104892349243164062e+01,4.090246200561523438e+01,4.113751602172851562e+01,4.109583282470703125e+01
4.134999084472656250e+01,4.121021270751953125e+01,4.144430923461914062e+01,4.140214538574218750e+01
4.098573684692382812e+01,4.084152221679687500e+01,4.107507324218750000e+01,4.103746032714843750e+01
