# open,high,low,close
3.820891571044921875e+01,3.811509704589843750e+01,3.824522018432617188e+01,3.828226089477539062e+01
6.609521484375000000e+01,6.632883453369140625e+01,6.639315795898437500e+01,6.648380279541015625e+01
7.120893096923828125e+01,7.147831726074218750e+01,7.156339263916015625e+01,7.167781829833984375e+01
7.180613708496093750e+01,7.201103973388671875e+01,7.216579437255859375e+01,7.226949310302734375e+01
7.129742431640625000e+01,7.145291900634765625e+01,7.164105224609375000e+01,7.173810577392578125e+01
7.231208801269531250e+01,7.247484588623046875e+01,7.266348266601562500e+01,7.276674652099609375e+01
7.236002349853515625e+01,7.247541046142578125e+01,7.269987487792968750e+01,7.278282928466796875e+01
7.189394378662109375e+01,7.197941589355468750e+01,7.222074127197265625e+01,7.229351806640625000e+01
7.168979644775390625e+01,7.174794769287109375e+01,7.200689697265625000e+01,7.206766510009765625e+01
7.137231445312500000e+01,7.140622711181640625e+01,7.168034362792968750e+01,7.173045349121093750e+01
7.118136596679687500e+01,7.120521545410156250e+01,7.148547363281250000e+01,7.153076171875000000e+01
7.083169555664062500e+01,7.081862640380859375e+01,7.112425994873046875e+01,7.115241241455078125e+01
7.020829772949218750e+01,7.018049621582031250e+01,7.049372100830078125e+01,7.051602172851562500e+01
7.003113555908203125e+01,7.000251770019531250e+01,7.031668853759765625e+01,7.033770751953125000e+01
6.981779479980468750e+01,6.977784729003906250e+01,7.010066986083984375e+01,7.011585998535156250e+01
6.927632141113281250e+01,6.921401977539062500e+01,6.955137634277343750e+01,6.955661773681640625e+01
