# open,high,low,close
5.641045379638671875e+01,5.539094924926757812e+01,5.675854873657226562e+01,5.606505966186523438e+01
7.520832824707031250e+01,7.432451629638671875e+01,7.551251983642578125e+01,7.501374816894531250e+01
1.170777664184570312e+02,1.165170135498046875e+02,1.172632751464843750e+02,1.171837310791015625e+02
1.639361419677734375e+02,1.637647399902343750e+02,1.639548950195312500e+02,1.643158264160156250e+02
1.988136596679687500e+02,1.989536590576171875e+02,1.986733245849609375e+02,1.993256683349609375e+02
2.204442291259765625e+02,2.207929077148437500e+02,2.201879730224609375e+02,2.209919433593750000e+02
2.332108001708984375e+02,2.336990661621093750e+02,2.328891448974609375e+02,2.337670593261718750e+02
2.394224395751953125e+02,2.399996795654296875e+02,2.390748443603515625e+02,2.399789886474609375e+02
2.400882873535156250e+02,2.407087097167968750e+02,2.397381134033203125e+02,2.406317596435546875e+02
2.367626800537109375e+02,2.373877105712890625e+02,2.364189147949218750e+02,2.372779693603515625e+02
2.322264404296875000e+02,2.328345336914062500e+02,2.318879852294921875e+02,2.327100830078125000e+02
2.292624206542968750e+02,2.298527374267578125e+02,2.289235687255859375e+02,2.297272644042968750e+02
2.293426055908203125e+02,2.299286193847656250e+02,2.289958648681640625e+02,2.298085479736328125e+02
2.319862670898437500e+02,2.325837554931640625e+02,2.316257019042968750e+02,2.324672241210937500e+02
2.357901000976562500e+02,2.364091796875000000e+02,2.354125366210937500e+02,2.362888641357421875e+02
2.395087585449218750e+02,2.401527252197265625e+02,2.391143341064453125e+02,2.400214385986328125e+02
