# open,high,low,close
4.005849456787109375e+01,3.889261245727539062e+01,3.947229003906250000e+01,3.947828674316406250e+01
9.189347076416015625e+01,9.155295562744140625e+01,9.203852081298828125e+01,9.165895843505859375e+01
9.347292327880859375e+01,9.314443206787109375e+01,9.359589385986328125e+01,9.304890441894531250e+01
9.624985504150390625e+01,9.591017150878906250e+01,9.661143493652343750e+01,9.578874206542968750e+01
9.811965179443359375e+01,9.785734558105468750e+01,9.845988464355468750e+01,9.766001129150390625e+01
9.858422851562500000e+01,9.826610565185546875e+01,9.902272033691406250e+01,9.805153656005859375e+01
9.700989532470703125e+01,9.665940093994140625e+01,9.744680023193359375e+01,9.645159149169921875e+01
9.704243469238281250e+01,9.668741607666015625e+01,9.748902893066406250e+01,9.647392272949218750e+01
9.791790771484375000e+01,9.758524322509765625e+01,9.835813140869140625e+01,9.735417938232421875e+01
9.862319183349609375e+01,9.828204345703125000e+01,9.908242034912109375e+01,9.803741455078125000e+01
9.749739074707031250e+01,9.710740661621093750e+01,9.797862243652343750e+01,9.687550354003906250e+01
9.711000823974609375e+01,9.671836090087890625e+01,9.758393859863281250e+01,9.648999023437500000e+01
9.665246582031250000e+01,9.623625183105468750e+01,9.713505554199218750e+01,9.601354980468750000e+01
9.614086914062500000e+01,9.571054077148437500e+01,9.662079620361328125e+01,9.549503326416015625e+01
9.537356567382812500e+01,9.491506958007812500e+01,9.585604095458984375e+01,9.471020507812500000e+01
9.553507232666015625e+01,9.508432769775390625e+01,9.601208496093750000e+01,9.488018035888671875e+01
