# open,high,low,close
1.848111152648925781e+01,1.849814033508300781e+01,1.850884056091308594e+01,1.852887725830078125e+01
1.857417488098144531e+01,1.858760070800781250e+01,1.859658813476562500e+01,1.858893966674804688e+01
1.873215293884277344e+01,1.874013328552246094e+01,1.874735641479492188e+01,1.870206069946289062e+01
1.896953392028808594e+01,1.897031784057617188e+01,1.897539138793945312e+01,1.888065147399902344e+01
1.929176712036132812e+01,1.928408432006835938e+01,1.928628921508789062e+01,1.913080978393554688e+01
1.969387435913085938e+01,1.967719268798828125e+01,1.967555809020996094e+01,1.945082664489746094e+01
2.015503120422363281e+01,2.012980270385742188e+01,2.012332153320312500e+01,1.982685852050781250e+01
2.064804077148437500e+01,2.061530876159667969e+01,2.060326385498046875e+01,2.023917961120605469e+01
2.114625740051269531e+01,2.110720634460449219e+01,2.108931922912597656e+01,2.066711807250976562e+01
2.162418937683105469e+01,2.158005332946777344e+01,2.155645561218261719e+01,2.108994293212890625e+01
2.206198310852050781e+01,2.201388931274414062e+01,2.198505020141601562e+01,2.149031448364257812e+01
2.244259452819824219e+01,2.239168739318847656e+01,2.235827636718750000e+01,2.185284805297851562e+01
2.275702285766601562e+01,2.270437049865722656e+01,2.266719245910644531e+01,2.216782760620117188e+01
2.300532150268554688e+01,2.295194053649902344e+01,2.291179466247558594e+01,2.243226432800292969e+01
2.319062805175781250e+01,2.313764762878417969e+01,2.309524154663085938e+01,2.264611625671386719e+01
2.331520271301269531e+01,2.326388359069824219e+01,2.321982383728027344e+01,2.280943489074707031e+01
