# open,high,low,close
5.848272705078125000e+01,6.003404235839843750e+01,5.836023712158203125e+01,6.120388793945312500e+01
6.398336791992187500e+01,6.533921051025390625e+01,6.294398117065429688e+01,6.630942535400390625e+01
8.108065032958984375e+01,8.182315826416015625e+01,7.761695098876953125e+01,8.233336639404296875e+01
1.135770339965820312e+02,1.131805877685546875e+02,1.061384506225585938e+02,1.130092926025390625e+02
1.627022857666015625e+02,1.606865081787109375e+02,1.501397247314453125e+02,1.596968688964843750e+02
2.274732818603515625e+02,2.235238647460937500e+02,2.092773895263671875e+02,2.216753692626953125e+02
3.052369384765625000e+02,2.992634277343750000e+02,2.816066894531250000e+02,2.966162719726562500e+02
3.924059753417968750e+02,3.845398254394531250e+02,3.641669616699218750e+02,3.812413940429687500e+02
4.851444091796875000e+02,4.756990661621093750e+02,4.535681457519531250e+02,4.719490356445312500e+02
5.797530517578125000e+02,5.691688232421875000e+02,5.463594360351562500e+02,5.651860351562500000e+02
6.731121215820312500e+02,6.619030761718750000e+02,6.394597167968750000e+02,6.578756103515625000e+02
7.627775268554687500e+02,7.514824829101562500e+02,7.303074951171875000e+02,7.475407714843750000e+02
8.470474243164062500e+02,8.361912841796875000e+02,8.169744262695312500e+02,8.323888549804687500e+02
9.247570800781250000e+02,9.148183593750000000e+02,8.980374145507812500e+02,9.111492309570312500e+02
9.952551269531250000e+02,9.866478881835937500e+02,9.725764770507812500e+02,9.830532836914062500e+02
1.058295898437500000e+03,1.051358032226562500e+03,1.040094238281250000e+03,1.047743408203125000e+03
