# open,high,low,close
4.556682205200195312e+01,4.490690612792968750e+01,4.534472274780273438e+01,4.512963104248046875e+01
4.691098022460937500e+01,4.671347427368164062e+01,4.678263473510742188e+01,4.675217056274414062e+01
5.094591140747070312e+01,5.197424316406250000e+01,5.107332229614257812e+01,5.150482177734375000e+01
5.870190811157226562e+01,6.184615325927734375e+01,5.926309585571289062e+01,6.047568893432617188e+01
7.065459442138671875e+01,7.669985198974609375e+01,7.178543090820312500e+01,7.407416534423828125e+01
8.673183441162109375e+01,9.619584655761718750e+01,8.849806213378906250e+01,9.208200836181640625e+01
1.063892822265625000e+02,1.194400634765625000e+02,1.087878723144531250e+02,1.137713012695312500e+02
1.287799682617187500e+02,1.452445831298828125e+02,1.317641601562500000e+02,1.381203765869140625e+02
1.529037933349609375e+02,1.723322753906250000e+02,1.564115905761718750e+02,1.639880523681640625e+02
1.777527160644531250e+02,1.995139312744140625e+02,1.817292785644531250e+02,1.902731323242187500e+02
2.024149780273437500e+02,2.257951660156250000e+02,2.068228302001953125e+02,2.160186462402343750e+02
2.261379699707031250e+02,2.504238433837890625e+02,2.309565887451171875e+02,2.404666900634765625e+02
2.483712615966796875e+02,2.729153747558593750e+02,2.535927124023437500e+02,2.630941467285156250e+02
2.687462158203125000e+02,2.929995117187500000e+02,2.743663330078125000e+02,2.835752868652343750e+02
2.870625305175781250e+02,3.105899658203125000e+02,2.930747680664062500e+02,3.017615356445312500e+02
3.032405395507812500e+02,3.257144165039062500e+02,3.096299743652343750e+02,3.176218872070312500e+02
