# open,high,low,close
6.011830520629882812e+01,6.013781356811523438e+01,5.996964645385742188e+01,6.006800460815429688e+01
5.999305725097656250e+01,6.001699066162109375e+01,5.986436843872070312e+01,5.994686889648437500e+01
5.956809997558593750e+01,5.961161041259765625e+01,5.949520492553710938e+01,5.954165267944335938e+01
5.873089218139648438e+01,5.881055831909179688e+01,5.874822616577148438e+01,5.874422073364257812e+01
5.743968582153320312e+01,5.756981277465820312e+01,5.757026672363281250e+01,5.751253509521484375e+01
5.571821212768554688e+01,5.590852737426757812e+01,5.596923446655273438e+01,5.586604309082031250e+01
5.363815307617187500e+01,5.389275741577148438e+01,5.400135421752929688e+01,5.386956787109375000e+01
5.130115509033203125e+01,5.161836242675781250e+01,5.175598526000976562e+01,5.161679840087890625e+01
4.881840515136718750e+01,4.919141006469726562e+01,4.933708572387695312e+01,4.921147537231445312e+01
4.629621887207031250e+01,4.671417617797851562e+01,4.684887313842773438e+01,4.675397872924804688e+01
4.382667160034179688e+01,4.427598190307617188e+01,4.438546752929687500e+01,4.433251953125000000e+01
4.148160934448242188e+01,4.194729614257812500e+01,4.202365493774414062e+01,4.201726531982421875e+01
3.931542587280273438e+01,3.978228378295898438e+01,3.982355880737304688e+01,3.986265563964843750e+01
3.736307907104492188e+01,3.781669616699218750e+01,3.782616424560546875e+01,3.790515899658203125e+01
3.564121246337890625e+01,3.606884765625000000e+01,3.605389404296875000e+01,3.616400909423828125e+01
3.415165710449218750e+01,3.454280090332031250e+01,3.451341629028320312e+01,3.464421081542968750e+01
