# open,high,low,close
3.056416988372802734e+00,2.913351058959960938e+00,3.267883300781250000e+00,3.147387742996215820e+00
3.118461132049560547e+00,2.995309591293334961e+00,3.346624374389648438e+00,3.249719142913818359e+00
3.301170587539672852e+00,3.241487026214599609e+00,3.576789855957031250e+00,3.544867753982543945e+00
3.674480676651000977e+00,3.739725351333618164e+00,4.037101745605468750e+00,4.115828037261962891e+00
4.291411876678466797e+00,4.549108028411865234e+00,4.780769348144531250e+00,5.006911277770996094e+00
5.184300422668457031e+00,5.696709632873535156e+00,5.834037780761718750e+00,6.229111671447753906e+00
6.363771915435791016e+00,7.179003238677978516e+00,7.197535514831542969e+00,7.766114234924316406e+00
7.818367004394531250e+00,8.964319229125976562e+00,8.847582817077636719e+00,9.578096389770507812e+00
9.518219947814941406e+00,1.100053405761718750e+01,1.074201679229736328e+01,1.161042308807373047e+01
1.141862106323242188e+01,1.322174072265625000e+01,1.282509231567382812e+01,1.379918193817138672e+01
1.346695804595947266e+01,1.555832767486572266e+01,1.503603553771972656e+01,1.608070564270019531e+01
1.560422134399414062e+01,1.793852424621582031e+01,1.731010627746582031e+01,1.838978576660156250e+01
1.776907539367675781e+01,2.029262924194335938e+01,1.958291816711425781e+01,2.066335868835449219e+01
1.990144157409667969e+01,2.255622863769531250e+01,2.179388618469238281e+01,2.284311866760253906e+01
2.195239067077636719e+01,2.468173408508300781e+01,2.389736366271972656e+01,2.488899421691894531e+01
2.388540649414062500e+01,2.663822937011718750e+01,2.586223411560058594e+01,2.677624320983886719e+01
