# open,high,low,close
4.425027465820312500e+01,4.434288024902343750e+01,4.505685806274414062e+01,4.458512496948242188e+01
4.486761093139648438e+01,4.496896743774414062e+01,4.567865753173828125e+01,4.522636032104492188e+01
4.679070281982421875e+01,4.692382049560546875e+01,4.760585021972656250e+01,4.722138595581054688e+01
5.050748825073242188e+01,5.070390701293945312e+01,5.131600570678710938e+01,5.108041763305664062e+01
5.623186111450195312e+01,5.652592468261718750e+01,5.701401519775390625e+01,5.703058242797851562e+01
6.391454315185546875e+01,6.433623504638671875e+01,6.464669799804687500e+01,6.502378082275390625e+01
7.328874206542968750e+01,7.385555267333984375e+01,7.394857788085937500e+01,7.478032684326171875e+01
8.395277404785156250e+01,8.466458129882812500e+01,8.452333068847656250e+01,8.587377166748046875e+01
9.544576263427734375e+01,9.628380584716796875e+01,9.591699218750000000e+01,9.781082153320312500e+01
1.072988891601562500e+02,1.082282714843750000e+02,1.076670379638671875e+02,1.100875473022460938e+02
1.190795974731445312e+02,1.200551223754882812e+02,1.193458480834960938e+02,1.222393951416015625e+02
1.304176177978515625e+02,1.313907470703125000e+02,1.305864715576171875e+02,1.338711090087890625e+02
1.410309600830078125e+02,1.419572143554687500e+02,1.411094818115234375e+02,1.446861419677734375e+02
1.507239227294921875e+02,1.515675811767578125e+02,1.507207336425781250e+02,1.544840240478515625e+02
1.593813018798828125e+02,1.601179046630859375e+02,1.593061523437500000e+02,1.631534576416015625e+02
1.669577636718750000e+02,1.675746154785156250e+02,1.668211669921875000e+02,1.706594848632812500e+02
