# open,high,low,close
9.730513000488281250e+01,9.745724487304687500e+01,9.751506042480468750e+01,9.764226531982421875e+01
9.720359039306640625e+01,9.734900665283203125e+01,9.741296386718750000e+01,9.749350738525390625e+01
9.734358978271484375e+01,9.748247528076171875e+01,9.755263519287109375e+01,9.757569122314453125e+01
9.775048828125000000e+01,9.788272857666015625e+01,9.795938110351562500e+01,9.791488647460937500e+01
9.842169952392578125e+01,9.854628753662109375e+01,9.862974548339843750e+01,9.851099395751953125e+01
9.933668518066406250e+01,9.945173645019531250e+01,9.954215240478515625e+01,9.934620666503906250e+01
1.004516448974609375e+02,1.005541534423828125e+02,1.006514282226562500e+02,1.003801040649414062e+02
1.017039794921875000e+02,1.017898330688476562e+02,1.018935317993164062e+02,1.015538330078125000e+02
1.030271377563476562e+02,1.030918960571289062e+02,1.032012481689453125e+02,1.028041381835937500e+02
1.043568420410156250e+02,1.043963775634765625e+02,1.045103302001953125e+02,1.040695953369140625e+02
1.056330871582031250e+02,1.056442260742187500e+02,1.057614822387695312e+02,1.052929000854492188e+02
1.068030929565429688e+02,1.067841339111328125e+02,1.069030990600585938e+02,1.064237136840820312e+02
1.078269729614257812e+02,1.077783889770507812e+02,1.078971481323242188e+02,1.074239883422851562e+02
1.086852035522460938e+02,1.086101455688476562e+02,1.087264556884765625e+02,1.082743911743164062e+02
1.093801193237304688e+02,1.092843933105468750e+02,1.093959655761718750e+02,1.089757385253906250e+02
1.099214019775390625e+02,1.098119888305664062e+02,1.099168930053710938e+02,1.095355758666992188e+02
