# open,high,low,close
3.808242416381835938e+01,3.794122314453125000e+01,3.795095443725585938e+01,3.796675491333007812e+01
3.847318267822265625e+01,3.827558517456054688e+01,3.832469940185546875e+01,3.835601043701171875e+01
3.964179229736328125e+01,3.928629684448242188e+01,3.945404052734375000e+01,3.954304885864257812e+01
4.184106063842773438e+01,4.123364257812500000e+01,4.159851074218750000e+01,4.180006408691406250e+01
4.510799789428710938e+01,4.420026397705078125e+01,4.480913543701171875e+01,4.517732620239257812e+01
4.931397628784179688e+01,4.811479568481445312e+01,4.897014617919921875e+01,4.954704666137695312e+01
5.422642517089843750e+01,5.279395675659179688e+01,5.385694503784179688e+01,5.466492462158203125e+01
5.957338333129882812e+01,5.799515151977539062e+01,5.919930267333984375e+01,6.023794937133789062e+01
6.510175323486328125e+01,6.347050476074218750e+01,6.473955535888671875e+01,6.598808288574218750e+01
7.060316467285156250e+01,6.899842834472656250e+01,7.026100921630859375e+01,7.168384552001953125e+01
7.591349029541015625e+01,7.439295196533203125e+01,7.559081268310546875e+01,7.714346313476562500e+01
8.086968231201171875e+01,7.947497558593750000e+01,8.056217193603515625e+01,8.219199371337890625e+01
8.536418914794921875e+01,8.411703491210937500e+01,8.506224822998046875e+01,8.671554565429687500e+01
8.934562683105468750e+01,8.824786376953125000e+01,8.903482055664062500e+01,9.066304779052734375e+01
9.277755737304687500e+01,9.182033538818359375e+01,9.244303131103515625e+01,9.400325012207031250e+01
9.556484222412109375e+01,9.474834442138671875e+01,9.519966888427734375e+01,9.664654541015625000e+01
