# open,high,low,close
4.773088455200195312e+01,4.770884704589843750e+01,4.840250015258789062e+01,4.785216522216796875e+01
4.741575241088867188e+01,4.738152694702148438e+01,4.807145309448242188e+01,4.752831268310546875e+01
4.687571334838867188e+01,4.677905654907226562e+01,4.748518371582031250e+01,4.694270706176757812e+01
4.599206161499023438e+01,4.576803588867187500e+01,4.651242065429687500e+01,4.596770858764648438e+01
4.468935394287109375e+01,4.427454757690429688e+01,4.507287216186523438e+01,4.453052902221679688e+01
4.294103240966796875e+01,4.228717803955078125e+01,4.314325714111328125e+01,4.261615753173828125e+01
4.076685333251953125e+01,3.984934616088867188e+01,4.075354766845703125e+01,4.026095199584960938e+01
3.822679138183593750e+01,3.704782867431640625e+01,3.797873306274414062e+01,3.754299545288085938e+01
3.540990447998046875e+01,3.399654006958007812e+01,3.492474365234375000e+01,3.456779861450195312e+01
3.242117691040039062e+01,3.081982612609863281e+01,3.171255111694335938e+01,3.145302581787109375e+01
2.937007522583007812e+01,2.763951492309570312e+01,2.846478843688964844e+01,2.831617164611816406e+01
2.635980987548828125e+01,2.456390190124511719e+01,2.529385185241699219e+01,2.526367759704589844e+01
2.347995185852050781e+01,2.168128013610839844e+01,2.229434776306152344e+01,2.238416290283203125e+01
2.080113601684570312e+01,1.905593681335449219e+01,1.953818321228027344e+01,1.974393081665039062e+01
1.837343025207519531e+01,1.672826957702636719e+01,1.707374763488769531e+01,1.738647842407226562e+01
1.622647094726562500e+01,1.471640968322753906e+01,1.492687892913818359e+01,1.533360767364501953e+01
