# open,high,low,close
7.058468627929687500e+01,7.054566955566406250e+01,7.206454467773437500e+01,7.078651428222656250e+01
7.029242706298828125e+01,7.026248168945312500e+01,7.176929473876953125e+01,7.051350402832031250e+01
6.958615875244140625e+01,6.959615325927734375e+01,7.106513977050781250e+01,6.986449432373046875e+01
6.829544067382812500e+01,6.839458465576171875e+01,6.977882385253906250e+01,6.866516113281250000e+01
6.632941436767578125e+01,6.657530975341796875e+01,6.781271362304687500e+01,6.680690765380859375e+01
6.368179321289062500e+01,6.412710571289062500e+01,6.515213775634765625e+01,6.425879669189453125e+01
6.041088485717773438e+01,6.109160995483398438e+01,6.184796905517578125e+01,6.105574417114257812e+01
5.662778854370117188e+01,5.755506515502929688e+01,5.800633621215820312e+01,5.729117584228515625e+01
5.247943115234375000e+01,5.363647460937500000e+01,5.377219390869140625e+01,5.310280990600585938e+01
4.812886047363281250e+01,4.947320938110351562e+01,4.930941009521484375e+01,4.865384292602539062e+01
4.373745727539062500e+01,4.520755767822265625e+01,4.478247451782226562e+01,4.411401748657226562e+01
3.945040130615234375e+01,4.097460174560546875e+01,4.034145355224609375e+01,3.964273452758789062e+01
3.538443374633789062e+01,3.689026641845703125e+01,3.610931015014648438e+01,3.537406158447265625e+01
3.162463188171386719e+01,3.304656219482421875e+01,3.217828750610351562e+01,3.141050148010253906e+01
2.822375869750976562e+01,2.950849914550781250e+01,2.860868644714355469e+01,2.782018661499023438e+01
2.520718574523925781e+01,2.631632423400878906e+01,2.543316841125488281e+01,2.464025497436523438e+01
