# open,high,low,close
5.595741577148437500e+02,5.650870971679687500e+02,5.624985351562500000e+02,5.627531738281250000e+02
5.625216064453125000e+02,5.678201293945312500e+02,5.651968994140625000e+02,5.655879516601562500e+02
5.681692504882812500e+02,5.729494628906250000e+02,5.701451416015625000e+02,5.709171142578125000e+02
5.775913085937500000e+02,5.815333251953125000e+02,5.783389282226562500e+02,5.797841796875000000e+02
5.913701171875000000e+02,5.942288208007812500e+02,5.904197387695312500e+02,5.928024902343750000e+02
6.096231079101562500e+02,6.112822875976562500e+02,6.066606445312500000e+02,6.101647949218750000e+02
6.320226440429687500e+02,6.325224609375000000e+02,6.269521484375000000e+02,6.316484375000000000e+02
6.579464111328125000e+02,6.574755859375000000e+02,6.508966674804687500e+02,6.567396240234375000e+02
6.866024169921875000e+02,6.854681396484375000e+02,6.778961181640625000e+02,6.847390747070312500e+02
7.170906372070312500e+02,7.156814575195312500e+02,7.071997680664062500e+02,7.148157958984375000e+02
7.485474853515625000e+02,7.472853393554687500e+02,7.380249633789062500e+02,7.461398925781250000e+02
7.801546630859375000e+02,7.794564819335937500e+02,7.695795898437500000e+02,7.778987426757812500e+02
8.112091064453125000e+02,8.114523925781250000e+02,8.011334228515625000e+02,8.093681640625000000e+02
8.411022338867187500e+02,8.426043701171875000e+02,8.320186157226562500e+02,8.399037475585937500e+02
8.693386840820312500e+02,8.723440551757812500e+02,8.616582031250000000e+02,8.689641723632812500e+02
8.955441894531250000e+02,9.002185058593750000e+02,8.895831909179687500e+02,8.961245727539062500e+02
