# open,high,low,close
7.511123657226562500e+01,7.487407684326171875e+01,7.527873992919921875e+01,7.498751831054687500e+01
7.458327484130859375e+01,7.435079956054687500e+01,7.475881195068359375e+01,7.445973205566406250e+01
7.391843414306640625e+01,7.362766265869140625e+01,7.405828094482421875e+01,7.376385498046875000e+01
7.304673767089843750e+01,7.263264465332031250e+01,7.311070251464843750e+01,7.282630920410156250e+01
7.193312072753906250e+01,7.134687805175781250e+01,7.189693450927734375e+01,7.161808013916015625e+01
7.057894134521484375e+01,6.979768371582031250e+01,7.043927001953125000e+01,7.015290069580078125e+01
6.901483917236328125e+01,6.804287719726562500e+01,6.878765869140625000e+01,6.847595977783203125e+01
6.728724670410156250e+01,6.615000152587890625e+01,6.700111389160156250e+01,6.664630889892578125e+01
6.545570373535156250e+01,6.419477844238281250e+01,6.514655303955078125e+01,6.473397827148437500e+01
6.358428573608398438e+01,6.225056838989257812e+01,6.328950119018554688e+01,6.280996322631835938e+01
6.173508071899414062e+01,6.038208007812500000e+01,6.148854446411132812e+01,6.093934249877929688e+01
5.995965576171875000e+01,5.863643646240234375e+01,5.978741455078125000e+01,5.917258071899414062e+01
5.829768753051757812e+01,5.704465866088867188e+01,5.821617889404296875e+01,5.754537582397460938e+01
5.677454376220703125e+01,5.562053298950195312e+01,5.679000091552734375e+01,5.607711410522460938e+01
5.540356445312500000e+01,5.436566543579101562e+01,5.551333236694335938e+01,5.477460098266601562e+01
5.418873596191406250e+01,5.327377319335937500e+01,5.438357543945312500e+01,5.363580322265625000e+01
