# open,high,low,close
7.701956176757812500e+01,7.478424835205078125e+01,7.801390075683593750e+01,7.528699493408203125e+01
7.685834503173828125e+01,7.468060302734375000e+01,7.787287902832031250e+01,7.515852355957031250e+01
7.650418090820312500e+01,7.443077087402343750e+01,7.754854583740234375e+01,7.486665344238281250e+01
7.589025878906250000e+01,7.397881317138671875e+01,7.697908782958984375e+01,7.435063171386718750e+01
7.497747039794921875e+01,7.328555297851562500e+01,7.612774658203125000e+01,7.357092285156250000e+01
7.375685119628906250e+01,7.233298492431640625e+01,7.498420715332031250e+01,7.251291656494140625e+01
7.224684906005859375e+01,7.112425994873046875e+01,7.356188964843750000e+01,7.118565368652343750e+01
7.050657653808593750e+01,6.969438171386718750e+01,7.191178894042968750e+01,6.963328552246093750e+01
6.861225128173828125e+01,6.809630584716796875e+01,7.010089874267578125e+01,6.791754913330078125e+01
6.664235687255859375e+01,6.639005279541015625e+01,6.819938659667968750e+01,6.610521697998046875e+01
6.466835784912109375e+01,6.463465881347656250e+01,6.627259063720703125e+01,6.425977325439453125e+01
6.274916076660156250e+01,6.288294982910156250e+01,6.437625885009765625e+01,6.243616104125976562e+01
6.093083572387695312e+01,6.117969894409179688e+01,6.255599594116210938e+01,6.067980194091796875e+01
5.924483108520507812e+01,5.955934524536132812e+01,6.084496688842773438e+01,5.902440261840820312e+01
5.770972061157226562e+01,5.804616165161132812e+01,5.926491546630859375e+01,5.749268341064453125e+01
5.633318710327148438e+01,5.665530395507812500e+01,5.782763290405273438e+01,5.609757232666015625e+01
