# open,high,low,close
6.446994018554687500e+01,6.446963500976562500e+01,6.434952545166015625e+01,6.466973876953125000e+01
6.445877838134765625e+01,6.446545410156250000e+01,6.432099914550781250e+01,6.465176391601562500e+01
6.415125274658203125e+01,6.418326568603515625e+01,6.393838119506835938e+01,6.431806182861328125e+01
6.344462585449218750e+01,6.351944732666015625e+01,6.309705352783203125e+01,6.356504440307617188e+01
6.231665039062500000e+01,6.244486999511718750e+01,6.179154205322265625e+01,6.237633514404296875e+01
6.081608200073242188e+01,6.099883651733398438e+01,6.009769821166992188e+01,6.081012725830078125e+01
5.904132080078125000e+01,5.927071380615234375e+01,5.814289855957031250e+01,5.897457504272460938e+01
5.710763168334960938e+01,5.736962127685546875e+01,5.606489181518554688e+01,5.699193954467773438e+01
5.513029098510742188e+01,5.540776443481445312e+01,5.399293899536132812e+01,5.498114395141601562e+01
5.321474075317382812e+01,5.349004745483398438e+01,5.203852844238281250e+01,5.304841613769531250e+01
5.144915008544921875e+01,5.170597457885742188e+01,5.028909683227539062e+01,5.128057861328125000e+01
4.990096282958984375e+01,5.012546539306640625e+01,4.880636978149414062e+01,4.974248123168945312e+01
4.863108444213867188e+01,4.881139755249023438e+01,4.764588546752929688e+01,4.849293136596679688e+01
4.767305374145507812e+01,4.780028152465820312e+01,4.683123779296875000e+01,4.756222915649414062e+01
4.702794265747070312e+01,4.709714126586914062e+01,4.634957122802734375e+01,4.694739913940429688e+01
4.666888046264648438e+01,4.667934799194335938e+01,4.615887069702148438e+01,4.661758804321289062e+01
