# open,high,low,close
1.331337738037109375e+02,1.327935333251953125e+02,1.332917022705078125e+02,1.325992431640625000e+02
1.321931457519531250e+02,1.317998046875000000e+02,1.323055572509765625e+02,1.316524505615234375e+02
1.312156372070312500e+02,1.307975616455078125e+02,1.312970275878906250e+02,1.306902313232421875e+02
1.301374511718750000e+02,1.297182159423828125e+02,1.302057189941406250e+02,1.296578369140625000e+02
1.289253997802734375e+02,1.285190124511718750e+02,1.289972686767578125e+02,1.285210418701171875e+02
1.275797500610351562e+02,1.271893920898437500e+02,1.276672897338867188e+02,1.272713394165039062e+02
1.261167907714843750e+02,1.257376327514648438e+02,1.262263488769531250e+02,1.259147109985351562e+02
1.245513153076171875e+02,1.241750717163085938e+02,1.246849517822265625e+02,1.244589157104492188e+02
1.229117431640625000e+02,1.225277633666992188e+02,1.230676422119140625e+02,1.229243621826171875e+02
1.212357254028320312e+02,1.208325271606445312e+02,1.214086914062500000e+02,1.213409652709960938e+02
1.195656280517578125e+02,1.191325531005859375e+02,1.197478713989257812e+02,1.197446136474609375e+02
1.179344787597656250e+02,1.174643173217773438e+02,1.181175994873046875e+02,1.181661605834960938e+02
1.163763656616210938e+02,1.158650665283203125e+02,1.165520553588867188e+02,1.166381683349609375e+02
1.149139862060546875e+02,1.143616867065429688e+02,1.150752563476562500e+02,1.151850280761718750e+02
1.135631637573242188e+02,1.129736862182617188e+02,1.137049865722656250e+02,1.138255157470703125e+02
1.123247680664062500e+02,1.117057342529296875e+02,1.124448776245117188e+02,1.125659408569335938e+02
