# open,high,low,close
2.990963172912597656e+01,2.971487045288085938e+01,2.974890708923339844e+01,2.970030021667480469e+01
2.958390617370605469e+01,2.939342689514160156e+01,2.941696357727050781e+01,2.939023971557617188e+01
2.942082595825195312e+01,2.924653244018554688e+01,2.924966049194335938e+01,2.926918220520019531e+01
2.947936630249023438e+01,2.933504295349121094e+01,2.930987167358398438e+01,2.939873695373535156e+01
2.978136444091796875e+01,2.967871665954589844e+01,2.962395286560058594e+01,2.979457283020019531e+01
3.031904029846191406e+01,3.026552200317382812e+01,3.018719100952148438e+01,3.043839836120605469e+01
3.105030632019042969e+01,3.104752540588378906e+01,3.095861625671386719e+01,3.127442932128906250e+01
3.191747093200683594e+01,3.196199035644531250e+01,3.187875175476074219e+01,3.223332595825195312e+01
3.285868072509765625e+01,3.294364929199218750e+01,3.288182830810546875e+01,3.324558258056640625e+01
3.381528854370117188e+01,3.393209457397460938e+01,3.390424728393554688e+01,3.424900054931640625e+01
3.474151611328125000e+01,3.488152313232421875e+01,3.489515686035156250e+01,3.519850540161132812e+01
3.560220718383789062e+01,3.575751113891601562e+01,3.581520843505859375e+01,3.606167984008789062e+01
3.637295913696289062e+01,3.653682708740234375e+01,3.663693618774414062e+01,3.681787109375000000e+01
3.703614807128906250e+01,3.720291137695312500e+01,3.734081268310546875e+01,3.745285797119140625e+01
3.758131027221679688e+01,3.774628067016601562e+01,3.791534423828125000e+01,3.795934295654296875e+01
3.800412368774414062e+01,3.816349792480468750e+01,3.835592269897460938e+01,3.833589172363281250e+01
