# open,high,low,close
7.788954162597656250e+01,7.821176147460937500e+01,7.766722106933593750e+01,7.737966156005859375e+01
7.760596466064453125e+01,7.791952514648437500e+01,7.739438629150390625e+01,7.709392547607421875e+01
7.713370513916015625e+01,7.742851257324218750e+01,7.693325805664062500e+01,7.657692718505859375e+01
7.636933135986328125e+01,7.663811492919921875e+01,7.618025207519531250e+01,7.571562194824218750e+01
7.524586486816406250e+01,7.548555755615234375e+01,7.506815338134765625e+01,7.444561004638671875e+01
7.373977661132812500e+01,7.395085144042968750e+01,7.357308197021484375e+01,7.275582122802734375e+01
7.186647033691406250e+01,7.205129241943359375e+01,7.171035003662109375e+01,7.068000793457031250e+01
6.967415618896484375e+01,6.983561706542968750e+01,6.952861022949218750e+01,6.828744506835937500e+01
6.723751068115234375e+01,6.737844848632812500e+01,6.710361480712890625e+01,6.567381286621093750e+01
6.464519500732421875e+01,6.476790618896484375e+01,6.452568054199218750e+01,6.294528198242187500e+01
6.199024200439453125e+01,6.209650802612304688e+01,6.188945770263671875e+01,6.020690155029296875e+01
5.935869216918945312e+01,5.944965744018554688e+01,5.928200531005859375e+01,5.754967498779296875e+01
5.682531356811523438e+01,5.690175628662109375e+01,5.677821350097656250e+01,5.504727172851562500e+01
5.444906234741210938e+01,5.451146697998046875e+01,5.443624496459960938e+01,5.275253677368164062e+01
5.227387237548828125e+01,5.232265090942382812e+01,5.229859542846679688e+01,5.070042800903320312e+01
5.032552719116210938e+01,5.036081695556640625e+01,5.038912200927734375e+01,4.890562057495117188e+01
